Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
ends_with,strncmp,0,100,1000,0,1,0.21,4.7619e+06,210,227.11,242,61.2302,7.82497,-0.0106265,-1.20519,2.18659
ends_with,strncmp,10,100,1000,0,1,0.212,4.71698e+06,212,226.77,251,132.037,11.4908,0.0628146,-1.39338,1.28538
ends_with,strncmp,20,100,1000,0,1,0.207,4.83092e+06,207,227.27,265,206.987,14.387,0.124439,-0.888445,1.40891
ends_with,strncmp,30,100,1000,0,1,0.208,4.80769e+06,208,227.03,258,257.363,16.0425,0.220311,-1.25839,1.18622
ends_with,strncmp,40,100,1000,0,1,0.207,4.83092e+06,207,226.46,263,211.786,14.5529,-0.00455198,-1.11485,1.33719
ends_with,strncmp,50,100,1000,0,1,0.196,5.10204e+06,196,225.02,251,230.585,15.185,-0.0255191,-1.3572,1.91109
ends_with,strncmp,60,100,1000,0,1,0.197,5.07614e+06,197,223.54,261,471.948,21.7244,0.120621,-1.36661,1.22167
ends_with,strncmp,70,100,1000,0,1,0.197,5.07614e+06,197,228.22,294,472.618,21.7398,-0.0125344,-0.585411,1.43608
ends_with,strncmp,80,100,1000,0,1,0.198,5.05051e+06,198,222.77,264,503.29,22.4341,0.223738,-1.44492,1.10412
ends_with,strncmp,90,100,1000,0,1,0.199,5.02513e+06,199,236.68,373,657.573,25.6432,1.31068,6.44422,1.4694
ends_with,strncmp,100,100,1000,0,1,0.199,5.02513e+06,199,228.78,282,500.719,22.3767,0.0921371,-1.10261,1.33085
ends_with,strncmp,512,100,1000,0,1,0.224,4.46429e+06,224,264.09,352,716.022,26.7586,0.329818,0.294814,1.49821
ends_with,strncmp,1024,100,1000,0,1,0.255,3.92157e+06,255,289.4,347,772.121,27.7871,0.218601,-1.19359,1.23799
ends_with,strnicmp_cstr,0,100,1000,0,0.933333,0.196,5.10204e+06,196,229.35,296,515.119,22.6962,0.305528,-0.679076,1.46941
ends_with,strnicmp_cstr,10,100,1000,0,0.943396,0.2,5e+06,200,233.98,281,609.757,24.6933,0.0136101,-1.4306,1.37608
