Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
escape_xml,single_pass,0,30,65536,0,1,0.213455,4.68482e+06,13989,15121.8,15437,187606,433.135,-1.96314,2.16443,2.61535
escape_xml,single_pass,10,30,100,0,1,2.81,355872,281,568.433,820,25817.2,160.677,0.172151,-1.13202,1.78888
escape_xml,single_pass,20,30,100,0,1,7.17,139470,717,1082.6,1493,37419.4,193.441,-0.0465793,-0.378402,1.88998
escape_xml,single_pass,30,30,100,0,1,10.03,99700.9,1003,1568.6,2246,75565.1,274.891,0.389018,0.0683168,2.05754
escape_xml,single_pass,40,30,100,0,1,18,55555.6,1800,2149.27,2722,60682.8,246.339,0.518908,-0.256794,1.41783
escape_xml,single_pass,50,30,100,0,1,21.35,46838.4,2135,2716.47,3213,53924.5,232.217,0.029026,0.551462,2.50398
escape_xml,single_pass,60,30,100,0,1,23.8,42016.8,2380,3548.83,4465,205938,453.804,-0.338523,-0.116601,2.57564
escape_xml,single_pass,70,30,100,0,1,27.66,36153.3,2766,4038.6,4520,159487,399.359,-1.44955,1.81883,3.18661
escape_xml,single_pass,80,30,100,0,1,40.22,24863.3,4022,4705.93,5692,197230,444.106,0.313024,-0.663604,1.54002
escape_xml,single_pass,90,30,100,0,1,43.41,23036.2,4341,5264.9,6213,208238,456.331,0.0851076,-0.420626,2.02463
escape_xml,single_pass,100,30,100,0,1,46.09,21696.7,4609,5726.87,6874,287235,535.943,0.122903,-0.35664,2.08579
escape_xml,single_pass,512,30,100,0,1,509.47,1962.82,50947,57912,66362,1.08958e+07,3300.88,0.49295,0.0865708,2.11004
escape_xml,single_pass,1024,30,100,0,1,1672.21,598.011,167221,193311,216838,1.26574e+08,11250.5,-0.163002,-0.297575,2.31904
escape_xml,multi_pass,0,30,524288,0,0.107665,0.0229816,4.3513e+07,12049,12411.8,12972,44166.3,210.158,0.646476,0.606918,1.72632
escape_xml,multi_pass,10,30,100,0,14.3594,40.35,24783.1,4035,4148.7,4333,3075.67,55.4587,1.09705,2.68,2.05017
escape_xml,multi_pass,20,30,100,0,11.3919,81.68,12242.9,8168,8377.43,8857,18058.5,134.382,1.62322,3.64993,1.5585
escape_xml,multi_pass,30,30,100,0,12.3699,124.07,8059.97,12407,12715.8,13244,65164.8,255.274,0.703002,-0.879912,1.20955
escape_xml,multi_pass,40,30,100,0,9.26444,166.76,5996.64,16676,16987.6,17576,67254.3,259.334,0.648856,-0.60956,1.20141
escape_xml,multi_pass,50,30,100,0,9.80422,209.32,4777.37,20932,21166.6,21772,38761.2,196.879,1.46127,1.83275,1.1916
escape_xml,multi_pass,60,30,100,0,10.6088,252.49,3960.55,25249,25643.6,26680,98606.5,314.017,1.67866,3.0719,1.25652
escape_xml,multi_pass,70,30,100,0,10.7202,296.52,3372.45,29652,30027.4,30931,89248.2,298.744,1.07778,1.03971,1.2567
escape_xml,multi_pass,80,30,100,0,8.48533,341.28,2930.15,34128,34561.1,35074,88398.9,297.319,0.398252,-1.17139,1.45668
escape_xml,multi_pass,90,30,100,0,8.91454,386.98,2584.11,38698,39746.2,40740,529977,727.995,0.0329884,-1.66229,1.4398
escape_xml,multi_pass,100,30,100,0,9.35843,431.33,2318.41,43133,43610,44338,104365,323.056,0.667478,-0.5004,1.47642
escape_xml,multi_pass,512,30,100,0,6.00964,3061.73,326.613,306173,308755,313569,3.1722e+06,1781.07,0.98862,0.360878,1.44964
escape_xml,multi_pass,1024,30,100,0,4.66535,7801.45,128.181,780145,825513,855690,2.97852e+08,17258.4,-1.28205,1.8918,2.62877
escape_xml,boost_multi_pass,0,30,524288,0,0.142898,0.0305023,3.27844e+07,15992,16482.7,17838,321012,566.58,1.08948,-0.0989838,0.866016
escape_xml,boost_multi_pass,10,30,100,0,4.39858,12.36,80906.1,1236,1359.43,1451,3094.87,55.6316,-0.30194,-0.752025,2.21876
escape_xml,boost_multi_pass,20,30,100,0,3.46025,24.81,40306.3,2481,2674.07,2850,6797.79,82.4487,-0.0794577,0.0222246,2.34166
escape_xml,boost_multi_pass,30,30,100,0,3.63011,36.41,27465,3641,3879,4059,9485.86,97.3954,-0.295578,-0.367628,2.44365
escape_xml,boost_multi_pass,40,30,100,0,2.785,50.13,19948.1,5013,5223.93,5543,17711.9,133.086,0.535811,-0.548419,1.58494
escape_xml,boost_multi_pass,50,30,100,0,2.8815,61.52,16254.9,6152,6532.37,7151,49073.5,221.525,0.689671,0.203665,1.71703
escape_xml,boost_multi_pass,60,30,100,0,3.18824,75.88,13178.7,7588,8066.73,8325,33913.2,184.155,-1.10075,0.894958,2.59962
escape_xml,boost_multi_pass,70,30,100,0,3.19378,88.34,11319.9,8834,9278.5,9677,51171.3,226.211,-0.264512,-1.04977,1.96498
escape_xml,boost_multi_pass,80,30,100,0,2.53282,101.87,9816.43,10187,10560.8,11120,51457.2,226.842,0.577322,-0.0311128,1.6477
escape_xml,boost_multi_pass,90,30,100,0,2.54849,110.63,9039.14,11063,11456.7,12034,78987.2,281.047,0.153794,-0.910954,1.40084
escape_xml,boost_multi_pass,100,30,100,0,2.68149,123.59,8091.27,12359,13032.8,13910,145369,381.272,0.539491,-0.421885,1.76733
escape_xml,boost_multi_pass,512,30,100,0,1.25813,640.98,1560.11,64098,65078.8,66807,626402,791.456,0.781042,-0.626898,1.23924
escape_xml,boost_multi_pass,1024,30,100,0,0.760963,1272.49,785.861,127249,129877,132254,2.66592e+06,1632.77,-0.164455,-1.33841,1.60925
