Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
iends_with,strnicmp,0,100,1000,0,1,0.191,5.2356e+06,191,215.07,266,422.308,20.5501,0.240662,-1.02272,1.17128
iends_with,strnicmp,10,100,1000,0,1,0.195,5.12821e+06,195,221.08,312,627.65,25.0529,0.631686,0.0665816,1.041
iends_with,strnicmp,20,100,1000,0,1,0.198,5.05051e+06,198,226.85,275,462.634,21.5089,0.228438,-1.17557,1.3413
iends_with,strnicmp,30,100,1000,0,1,0.206,4.85437e+06,206,246.6,295,476.626,21.8318,-0.206937,-0.531998,1.85967
iends_with,strnicmp,40,100,1000,0,1,0.205,4.87805e+06,205,245.75,294,557.543,23.6123,-0.0956837,-0.792611,1.72579
iends_with,strnicmp,50,100,1000,0,1,0.203,4.92611e+06,203,245.68,304,372.482,19.2998,-0.189107,0.732346,2.21142
iends_with,strnicmp,60,100,1000,0,1,0.208,4.80769e+06,208,237.92,311,603.044,24.557,0.724642,0.112898,1.21839
iends_with,strnicmp,70,100,1000,0,1,0.206,4.85437e+06,206,242.86,315,723.677,26.9012,0.543442,-0.324416,1.3702
iends_with,strnicmp,80,100,1000,0,1,0.207,4.83092e+06,207,237.12,282,458.369,21.4096,0.149898,-1.33104,1.40685
iends_with,strnicmp,90,100,1000,0,1,0.213,4.69484e+06,213,236.44,284,493.623,22.2176,0.358837,-1.36566,1.05502
iends_with,strnicmp,100,100,1000,0,1,0.213,4.69484e+06,213,237.23,299,526.906,22.9544,0.353104,-1.13166,1.05557
iends_with,strnicmp,512,100,1000,0,1,0.264,3.78788e+06,264,299.67,400,922.688,30.3758,0.68929,-0.118201,1.17429
iends_with,strnicmp,1024,100,1000,0,1,0.333,3.003e+06,333,368.44,451,944.208,30.728,0.434256,-0.808932,1.15335
