Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
istarts_with,strnicmp,0,100,1000,0,1,0.191,5.2356e+06,191,212.48,285,491.727,22.1749,0.676783,-0.444547,0.968662
istarts_with,strnicmp,10,100,1000,0,1,0.195,5.12821e+06,195,215.94,253,400.36,20.009,0.409435,-1.42127,1.04653
istarts_with,strnicmp,20,100,1000,0,1,0.2,5e+06,200,223.64,290,454.92,21.3288,0.630987,-0.538314,1.10836
istarts_with,strnicmp,30,100,1000,0,1,0.203,4.92611e+06,203,229.43,278,488.025,22.0913,0.155106,-1.20611,1.1964
istarts_with,strnicmp,40,100,1000,0,1,0.202,4.9505e+06,202,230.34,280,558.772,23.6384,0.204457,-1.35483,1.1989
istarts_with,strnicmp,50,100,1000,0,1,0.206,4.85437e+06,206,240.43,276,316.066,17.7782,0.0697275,-1.17591,1.93664
istarts_with,strnicmp,60,100,1000,0,1,0.208,4.80769e+06,208,239.87,284,470.074,21.6812,-0.00959356,-1.29318,1.46994
istarts_with,strnicmp,70,100,1000,0,1,0.207,4.83092e+06,207,237.19,279,557.711,23.6159,0.174485,-1.47837,1.27838
istarts_with,strnicmp,80,100,1000,0,1,0.212,4.71698e+06,212,240.56,301,569.017,23.8541,0.161051,-1.15698,1.19728
istarts_with,strnicmp,90,100,1000,0,1,0.211,4.73934e+06,211,240.82,305,580.149,24.0863,0.169053,-1.05816,1.23805
istarts_with,strnicmp,100,100,1000,0,1,0.211,4.73934e+06,211,261.23,317,487.189,22.0724,0.20509,0.797666,2.2757
istarts_with,strnicmp,512,100,1000,0,1,0.267,3.74532e+06,267,321.29,406,1068.03,32.6807,-0.0665294,-0.653148,1.66123
istarts_with,strnicmp,1024,100,1000,0,1,0.33,3.0303e+06,330,383.2,451,1202.2,34.6728,-0.076297,-1.17649,1.53434
istarts_with,strnicmp_cstr,0,100,1000,0,1.03141,0.197,5.07614e+06,197,231.54,301,655.524,25.6032,0.28016,-0.930575,1.34905
istarts_with,strnicmp_cstr,10,100,1000,0,1.02564,0.2,5e+06,200,235.27,329,729.027,27.0005,0.250442,-0.301941,1.30627
istarts_with,strnicmp_cstr,20,100,1000,0,1.035,0.207,4.83092e+06,207,251.3,320,590.778,24.3059,-0.0385654,-0.380417,1.8226
