Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
starts_with,strncmp,0,100,1000,0,1,0.188,5.31915e+06,188,208.64,258,418.172,20.4493,0.399443,-1.33234,1.00933
starts_with,strncmp,10,100,1000,0,1,0.191,5.2356e+06,191,211.95,255,367.846,19.1793,0.312331,-1.36833,1.09232
starts_with,strncmp,20,100,1000,0,1,0.193,5.18135e+06,193,214.3,266,436.879,20.9016,0.495056,-1.09546,1.01906
starts_with,strncmp,30,100,1000,0,1,0.194,5.15464e+06,194,220.19,263,411.145,20.2767,0.0489986,-1.19197,1.29163
starts_with,strncmp,40,100,1000,0,1,0.194,5.15464e+06,194,214.45,277,437.604,20.919,0.59787,-0.689914,0.977581
starts_with,strncmp,50,100,1000,0,1,0.195,5.12821e+06,195,219.03,266,384.171,19.6003,0.174058,-1.13886,1.226
starts_with,strncmp,60,100,1000,0,1,0.197,5.07614e+06,197,217.52,263,410.091,20.2507,0.377166,-1.37837,1.0133
starts_with,strncmp,70,100,1000,0,1,0.197,5.07614e+06,197,217.81,260,425.792,20.6347,0.360345,-1.47033,1.00849
starts_with,strncmp,80,100,1000,0,1,0.198,5.05051e+06,198,225.49,309,560.232,23.6692,0.676704,0.626991,1.16142
starts_with,strncmp,90,100,1000,0,1,0.199,5.02513e+06,199,224.37,271,519.73,22.7976,0.231683,-1.49871,1.11284
starts_with,strncmp,100,100,1000,0,1,0.199,5.02513e+06,199,230.86,285,501.637,22.3972,-0.17213,-1.12646,1.4225
starts_with,strncmp,512,100,1000,0,1,0.226,4.42478e+06,226,251.1,304,505.121,22.4749,0.452641,-1.14065,1.1168
starts_with,strncmp,1024,100,1000,0,1,0.256,3.90625e+06,256,283.62,353,613.834,24.7757,0.507255,-0.868896,1.1148
starts_with,strnicmp_cstr,0,100,1000,0,1.03723,0.195,5.12821e+06,195,219.77,271,387.755,19.6915,0.465937,-0.869902,1.2579
