Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wends_with,strncmp,0,100,1000,0,1,0.189,5.29101e+06,189,214.45,282,466.513,21.5989,0.430051,-0.390681,1.1783
wends_with,strncmp,10,100,1000,0,1,0.194,5.15464e+06,194,215.25,253,414.351,20.3556,0.280432,-1.51905,1.04394
wends_with,strncmp,20,100,1000,0,1,0.198,5.05051e+06,198,218.23,254,381.593,19.5344,0.337964,-1.44275,1.03561
wends_with,strncmp,30,100,1000,0,1,0.202,4.9505e+06,202,238.34,289,512.449,22.6373,-0.200451,-0.790756,1.60531
wends_with,strncmp,40,100,1000,0,1,0.206,4.85437e+06,206,230.22,277,467.345,21.6182,0.368641,-1.1774,1.12035
wends_with,strncmp,50,100,1000,0,1,0.21,4.7619e+06,210,243.17,335,602.506,24.546,0.512438,0.645169,1.35134
wends_with,strncmp,60,100,1000,0,1,0.213,4.69484e+06,213,235.81,299,433.388,20.818,0.519764,-0.634226,1.09569
wends_with,strncmp,70,100,1000,0,1,0.218,4.58716e+06,218,242.86,301,375.697,19.3829,0.32616,-0.77512,1.28257
wends_with,strncmp,80,100,1000,0,1,0.221,4.52489e+06,221,243.34,295,429.661,20.7283,0.320029,-1.22262,1.07776
wends_with,strncmp,90,100,1000,0,1,0.225,4.44444e+06,225,246.14,286,446.182,21.123,0.45233,-1.42138,1.0008
wends_with,strncmp,100,100,1000,0,1,0.23,4.34783e+06,230,272.43,309,181.035,13.4549,0.0949873,0.645091,3.15349
wends_with,strncmp,512,100,1000,0,1,0.406,2.46305e+06,406,445.77,509,893.532,29.892,0.132298,-1.15581,1.33046
wends_with,strncmp,1024,100,1000,0,1,0.611,1.63666e+06,611,668.94,760,928.784,30.476,0.172536,-0.126161,1.90117
wends_with,strnicmp_cstr,0,100,1000,0,1.03175,0.195,5.12821e+06,195,219.28,268,372.426,19.2983,0.411888,-1.17319,1.25814
wends_with,strnicmp_cstr,10,100,1000,0,1.0567,0.205,4.87805e+06,205,228.15,274,387.947,19.6964,0.414613,-1.10067,1.17534
wends_with,strnicmp_cstr,20,100,1000,0,1.06566,0.211,4.73934e+06,211,238.93,280,427.844,20.6844,0.0788251,-1.2363,1.35029
wends_with,strnicmp_cstr,30,100,1000,0,1.08911,0.22,4.54545e+06,220,246.33,302,416.587,20.4105,0.459332,-0.912516,1.29002
wends_with,strnicmp_cstr,40,100,1000,0,1.09223,0.225,4.44444e+06,225,253.5,303,496.495,22.2822,0.184425,-1.26458,1.27905
wends_with,strnicmp_cstr,50,100,1000,0,1.10952,0.233,4.29185e+06,233,259.62,303,515.046,22.6946,0.25159,-1.32461,1.17296
wends_with,strnicmp_cstr,60,100,1000,0,1.14554,0.244,4.09836e+06,244,275.02,342,570.101,23.8768,0.0840226,-1.00397,1.29917
wends_with,strnicmp_cstr,70,100,1000,0,1.18349,0.258,3.87597e+06,258,284.56,343,585.178,24.1905,0.415713,-1.03279,1.09795
wends_with,strnicmp_cstr,80,100,1000,0,1.14027,0.252,3.96825e+06,252,280.42,327,495.196,22.253,0.220426,-1.33734,1.27713
wends_with,strnicmp_cstr,90,100,1000,0,1.16889,0.263,3.80228e+06,263,295.59,350,664.79,25.7835,0.460498,-1.13126,1.26399
wends_with,strnicmp_cstr,100,100,1000,0,1.14348,0.263,3.80228e+06,263,298.49,349,567.949,23.8317,0.333955,-1.17154,1.48919
wends_with,strnicmp_cstr,512,100,1000,0,1.23153,0.5,2e+06,500,549.3,613,876.212,29.6009,-0.143861,-1.09641,1.66549
wends_with,strnicmp_cstr,1024,100,1000,0,1.36498,0.834,1.19904e+06,834,869.52,955,449.727,21.2068,0.87895,1.91266,1.67494
wends_with,strnicmp_stdstr,0,100,1000,0,1.00529,0.19,5.26316e+06,190,209.66,251,367.661,19.1745,0.353998,-1.40747,1.02532
wends_with,strnicmp_stdstr,10,100,1000,0,1.00515,0.195,5.12821e+06,195,213.9,261,367.222,19.163,0.430469,-1.31877,0.986273
