Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wescape_xml,single_pass,0,30,65536,0,1,0.217209,4.60386e+06,14235,14433.4,14626,10413.3,102.046,0.259843,-0.256106,1.9439
wescape_xml,single_pass,10,30,100,0,1,1.62,617284,162,541.8,825,24085.3,155.195,-0.141801,-0.211359,2.44725
wescape_xml,single_pass,20,30,100,0,1,8.26,121065,826,1286.1,1883,79134.2,281.308,0.157901,-0.769128,1.63557
wescape_xml,single_pass,30,30,100,0,1,11.92,83892.6,1192,2014.4,2630,149099,386.134,-0.626939,-0.571621,2.12983
wescape_xml,single_pass,40,30,100,0,1,18.21,54914.9,1821,2815,3644,219502,468.51,-0.201406,-0.219805,2.12162
wescape_xml,single_pass,50,30,100,0,1,25.86,38669.8,2586,3947.57,4989,495322,703.791,-0.208763,-1.17692,1.93462
wescape_xml,single_pass,60,30,100,0,1,37.01,27019.7,3701,5011.07,6798,629500,793.41,0.445172,-0.287269,1.65118
wescape_xml,single_pass,70,30,100,0,1,43.3,23094.7,4330,6492.63,9088,1.10304e+06,1050.26,0.281071,0.309634,2.05915
wescape_xml,single_pass,80,30,100,0,1,63.65,15710.9,6365,8164.93,10823,1.21319e+06,1101.45,0.3791,-0.417936,1.63415
wescape_xml,single_pass,90,30,100,0,1,70.46,14192.4,7046,9898.9,12596,1.91653e+06,1384.39,-0.282232,-0.444148,2.06077
wescape_xml,single_pass,100,30,100,0,1,79.02,12655,7902,11168,14487,2.53928e+06,1593.51,0.176892,-0.216679,2.04954
wescape_xml,single_pass,512,30,100,0,1,2106.73,474.669,210673,240936,269600,1.99987e+08,14141.7,-0.247137,-0.329192,2.13998
wescape_xml,single_pass,1024,30,100,0,1,8591.03,116.4,859103,994458,1124638,3.3536e+09,57910.3,0.306744,0.304044,2.33732
wescape_xml,multi_pass,0,30,262144,0,0.245416,0.0533066,1.87594e+07,13974,14233.8,14943,40305.7,200.763,1.82377,3.80304,1.29406
wescape_xml,multi_pass,10,30,100,0,19.1049,30.95,32310.2,3095,3201.5,3386,7166.53,84.6554,0.394783,-1.02094,1.25804
wescape_xml,multi_pass,20,30,100,0,7.89104,65.18,15342.1,6518,6719.77,7050,18742,136.901,0.631717,-0.376122,1.47381
wescape_xml,multi_pass,30,30,100,0,8.7198,103.94,9620.94,10394,10549.2,10835,9961.56,99.8076,0.938323,0.97223,1.55533
wescape_xml,multi_pass,40,30,100,0,8.08786,147.28,6789.79,14728,14988.3,15380,20249.1,142.299,0.445634,0.350955,1.82901
wescape_xml,multi_pass,50,30,100,0,7.5464,195.15,5124.26,19515,19778.5,20069,27548,165.976,0.129707,-1.05073,1.58778
wescape_xml,multi_pass,60,30,100,0,6.64442,245.91,4066.53,24591,24803,25203,19338.4,139.062,0.948161,0.903773,1.52473
wescape_xml,multi_pass,70,30,100,0,6.95058,300.96,3322.7,30096,30687.3,32258,444608,666.789,1.33928,0.284885,0.886737
wescape_xml,multi_pass,80,30,100,0,5.64478,359.29,2783.27,35929,36730.8,38156,641219,800.761,0.704007,-1.16879,1.0013
wescape_xml,multi_pass,90,30,100,0,5.99319,422.28,2368.1,42228,42421.7,42703,12617.4,112.327,0.473241,-0.163288,1.72472
wescape_xml,multi_pass,100,30,100,0,6.19944,489.88,2041.32,48988,49156,49634,25907.6,160.958,1.45636,1.5436,1.04354
wescape_xml,multi_pass,512,30,100,0,3.74416,7887.94,126.776,788794,796619,814715,2.79431e+07,5286.13,2.168,5.17705,1.48036
wescape_xml,multi_pass,1024,30,100,0,3.42771,29447.6,33.9587,2944757,2.96734e+06,3052336,1.01054e+09,31789.1,1.85759,2.10265,0.710248
wescape_xml,boost_multi_pass,0,30,262144,0,0.304584,0.0661583,1.51153e+07,17343,17444.8,17723,10154.6,100.77,1.48602,1.49013,1.00989
wescape_xml,boost_multi_pass,10,30,100,0,7.11111,11.52,86805.6,1152,1187.53,1344,1938.19,44.0249,2.06714,4.15897,0.80712
wescape_xml,boost_multi_pass,20,30,100,0,2.74939,22.71,44033.5,2271,2321.07,2462,2665.03,51.6239,1.15999,0.494926,0.969835
wescape_xml,boost_multi_pass,30,30,100,0,2.85151,33.99,29420.4,3399,3461.37,3548,2446.93,49.4665,0.285683,-1.20033,1.26079
wescape_xml,boost_multi_pass,40,30,100,0,2.54311,46.31,21593.6,4631,4719.23,4929,4801.22,69.2908,1.50358,1.65313,1.27338
wescape_xml,boost_multi_pass,50,30,100,0,2.24478,58.05,17226.5,5805,5908.1,6113,5596.23,74.808,0.675365,-0.0329827,1.3782
wescape_xml,boost_multi_pass,60,30,100,0,1.88382,69.72,14343.1,6972,7037.1,7192,4589.61,67.7467,0.906431,-0.496706,0.960933
wescape_xml,boost_multi_pass,70,30,100,0,1.87506,81.19,12316.8,8119,8202.47,8486,7632.19,87.3624,1.36929,1.79615,0.955407
wescape_xml,boost_multi_pass,80,30,100,0,1.45247,92.45,10816.7,9245,9350.53,9486,4387.29,66.2366,0.246523,-1.10167,1.59328
