Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wiends_with,strnicmp,0,100,1000,0,1,0.191,5.2356e+06,191,212.31,252,387.044,19.6734,0.272199,-1.45137,1.08319
wiends_with,strnicmp,10,100,1000,0,1,0.191,5.2356e+06,191,208.84,244,341.247,18.4729,0.432761,-1.41965,0.965741
wiends_with,strnicmp,20,100,1000,0,1,0.191,5.2356e+06,191,209.36,247,338.778,18.4059,0.383667,-1.43226,0.997505
wiends_with,strnicmp,30,100,1000,0,1,0.191,5.2356e+06,191,212.11,278,406.543,20.1629,0.557946,-0.531545,1.04697
wiends_with,strnicmp,40,100,1000,0,1,0.191,5.2356e+06,191,210.94,255,366.501,19.1442,0.349531,-1.30891,1.04157
wiends_with,strnicmp,50,100,1000,0,1,0.191,5.2356e+06,191,212.9,255,341.242,18.4727,0.173404,-1.27748,1.18553
wiends_with,strnicmp,60,100,1000,0,1,0.191,5.2356e+06,191,210.85,271,424.634,20.6066,0.592885,-0.804461,0.963281
wiends_with,strnicmp,70,100,1000,0,1,0.191,5.2356e+06,191,209.96,282,422.099,20.5451,0.75265,-0.245943,0.92285
wiends_with,strnicmp,80,100,1000,0,1,0.191,5.2356e+06,191,215.94,266,355.592,18.8572,-0.0262331,-1.1341,1.32257
wiends_with,strnicmp,90,100,1000,0,1,0.191,5.2356e+06,191,210.99,256,368.03,19.1841,0.355582,-1.29871,1.04201
wiends_with,strnicmp,100,100,1000,0,1,0.191,5.2356e+06,191,210.21,259,370.269,19.2424,0.421477,-1.28571,0.998318
wiends_with,strnicmp,512,100,1000,0,1,0.191,5.2356e+06,191,215.16,266,369.408,19.22,0.174754,-0.983994,1.25702
wiends_with,strnicmp,1024,100,1000,0,1,0.191,5.2356e+06,191,214,272,409.192,20.2285,0.602245,-0.902875,1.13701
wiends_with,strnicmp_cstr,0,100,1000,0,1.01047,0.193,5.18135e+06,193,223.2,281,438.586,20.9424,0.373883,-0.653068,1.44205
wiends_with,strnicmp_cstr,10,100,1000,0,1.04712,0.2,5e+06,200,225.34,280,399.035,19.9759,0.401024,-1.00903,1.26853
wiends_with,strnicmp_cstr,20,100,1000,0,1.06283,0.203,4.92611e+06,203,235.85,293,442.654,21.0393,0.389395,-0.491712,1.56136
wiends_with,strnicmp_cstr,30,100,1000,0,1.08377,0.207,4.83092e+06,207,232.42,270,356.327,18.8766,0.382242,-1.25648,1.34664
wiends_with,strnicmp_cstr,40,100,1000,0,1.09424,0.209,4.78469e+06,209,234.14,274,384.425,19.6068,0.289111,-1.27677,1.28221
wiends_with,strnicmp_cstr,50,100,1000,0,1.10471,0.211,4.73934e+06,211,236.59,275,398.265,19.9566,0.179256,-1.44056,1.28228
wiends_with,strnicmp_cstr,60,100,1000,0,1.13613,0.217,4.60829e+06,217,244.35,295,462.27,21.5005,0.329654,-1.0838,1.27207
wiends_with,strnicmp_cstr,70,100,1000,0,1.1466,0.219,4.56621e+06,219,244.18,297,484.755,22.0172,0.462416,-0.987788,1.14365
wiends_with,strnicmp_cstr,80,100,1000,0,1.17277,0.224,4.46429e+06,224,251.75,301,446.876,21.1394,0.30153,-1.26141,1.31271
wiends_with,strnicmp_cstr,90,100,1000,0,1.19372,0.228,4.38596e+06,228,253.12,312,489.602,22.1269,0.430096,-1.03904,1.13527
wiends_with,strnicmp_cstr,100,100,1000,0,1.16754,0.223,4.4843e+06,223,252.27,313,514.522,22.6831,0.572314,-0.679503,1.29039
wiends_with,strnicmp_cstr,512,100,1000,0,1.50262,0.287,3.48432e+06,287,316.74,398,610.356,24.7054,0.6161,-0.0251617,1.20379
wiends_with,strnicmp_cstr,1024,100,1000,0,1.96859,0.376,2.65957e+06,376,412.01,485,702.111,26.4974,0.271273,-0.832997,1.359
wiends_with,strnicmp_stdstr,0,100,1000,0,0.994764,0.19,5.26316e+06,190,209.1,250,372.111,19.2902,0.455953,-1.28234,0.990141
wiends_with,strnicmp_stdstr,10,100,1000,0,0.994764,0.19,5.26316e+06,190,208.89,250,340.584,18.4549,0.377456,-1.35914,1.02358
wiends_with,strnicmp_stdstr,20,100,1000,0,0.994764,0.19,5.26316e+06,190,213.19,253,329.004,18.1385,0.0516143,-1.32979,1.2785
wiends_with,strnicmp_stdstr,30,100,1000,0,0.994764,0.19,5.26316e+06,190,209.91,245,361.941,19.0248,0.323617,-1.48084,1.04653
wiends_with,strnicmp_stdstr,40,100,1000,0,0.994764,0.19,5.26316e+06,190,209.1,258,353.869,18.8114,0.392401,-1.26679,1.01534
wiends_with,strnicmp_stdstr,50,100,1000,0,0.994764,0.19,5.26316e+06,190,213.52,261,383.525,19.5838,0.0556281,-1.31673,1.20099
wiends_with,strnicmp_stdstr,60,100,1000,0,0.994764,0.19,5.26316e+06,190,209.03,263,356.797,18.8891,0.470012,-0.990161,1.00746
wiends_with,strnicmp_stdstr,70,100,1000,0,0.994764,0.19,5.26316e+06,190,208.34,276,350.408,18.7192,0.682066,-0.154032,0.979743
wiends_with,strnicmp_stdstr,80,100,1000,0,0.994764,0.19,5.26316e+06,190,213.85,264,417.503,20.4329,0.229504,-1.1187,1.16724
wiends_with,strnicmp_stdstr,90,100,1000,0,0.994764,0.19,5.26316e+06,190,207.26,242,328.8,18.1329,0.49261,-1.38553,0.951863
wiends_with,strnicmp_stdstr,100,100,1000,0,0.994764,0.19,5.26316e+06,190,209.04,251,376.746,19.4099,0.412789,-1.41058,0.980941
wiends_with,strnicmp_stdstr,512,100,1000,0,0.994764,0.19,5.26316e+06,190,214.08,264,381.044,19.5203,0.0985262,-1.21694,1.23358
wiends_with,strnicmp_stdstr,1024,100,1000,0,0.994764,0.19,5.26316e+06,190,209.62,247,334.137,18.2794,0.243181,-1.48913,1.07334
wiends_with,boost_cstr,0,100,1000,0,1.09948,0.21,4.7619e+06,210,233.19,283,471.974,21.725,0.415496,-1.25038,1.06744
wiends_with,boost_cstr,10,100,1000,0,3.02618,0.578,1.7301e+06,578,648.94,709,963.794,31.045,-0.338575,-0.687032,2.28507
wiends_with,boost_cstr,20,100,1000,0,5.27749,1.008,992063,1008,1078.01,1166,806.05,28.391,0.518391,0.51497,2.46592
wiends_with,boost_cstr,30,100,1000,0,7.31937,1.398,715308,1398,1521.57,1684,2234.33,47.2687,0.18905,0.707825,2.6142
wiends_with,boost_cstr,40,100,1000,0,9.89005,1.889,529381,1889,1974.01,2072,1867.73,43.2172,0.208634,-0.56073,1.96704
wiends_with,boost_cstr,50,100,1000,0,11.7277,2.24,446429,2240,2412.18,2575,3518.13,59.3138,-0.0360519,0.106811,2.90286
