Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wistarts_with,strnicmp,0,100,1000,0,1,0.189,5.29101e+06,189,213.64,303,565.182,23.7736,0.754544,0.402239,1.03645
wistarts_with,strnicmp,10,100,1000,0,1,0.189,5.29101e+06,189,216.88,262,414.268,20.3536,-0.0557345,-1.25919,1.36978
wistarts_with,strnicmp,20,100,1000,0,1,0.189,5.29101e+06,189,213.88,269,433.521,20.8212,0.455561,-0.729705,1.19494
wistarts_with,strnicmp,30,100,1000,0,1,0.189,5.29101e+06,189,212.41,267,509.234,22.5662,0.384534,-1.25727,1.03739
wistarts_with,strnicmp,40,100,1000,0,1,0.189,5.29101e+06,189,212.98,274,478.565,21.8761,0.469628,-0.960521,1.09617
wistarts_with,strnicmp,50,100,1000,0,1,0.189,5.29101e+06,189,219.66,271,537.964,23.1941,0.0947822,-1.23991,1.32189
wistarts_with,strnicmp,60,100,1000,0,1,0.189,5.29101e+06,189,220.24,278,435.053,20.8579,-0.0606721,-0.791825,1.49775
wistarts_with,strnicmp,70,100,1000,0,1,0.189,5.29101e+06,189,216.64,265,520.798,22.821,0.125472,-1.34638,1.21116
wistarts_with,strnicmp,80,100,1000,0,1,0.189,5.29101e+06,189,220.53,265,491.201,22.1631,-0.0705898,-1.03483,1.42264
wistarts_with,strnicmp,90,100,1000,0,1,0.189,5.29101e+06,189,213.81,250,449.731,21.2069,0.082998,-1.55372,1.1699
wistarts_with,strnicmp,100,100,1000,0,1,0.189,5.29101e+06,189,217.45,277,486.068,22.047,0.186439,-1.00105,1.29043
wistarts_with,strnicmp,512,100,1000,0,1,0.189,5.29101e+06,189,216.17,269,457.233,21.383,0.085988,-1.20905,1.27063
wistarts_with,strnicmp,1024,100,1000,0,1,0.189,5.29101e+06,189,213.32,264,453.654,21.2992,0.199626,-1.31292,1.14183
wistarts_with,strnicmp_cstr,0,100,1000,0,1.03175,0.195,5.12821e+06,195,221.84,273,541.712,23.2747,0.256748,-1.27051,1.15318
wistarts_with,strnicmp_cstr,10,100,1000,0,1.0582,0.2,5e+06,200,230.09,275,571.416,23.9043,0.126742,-1.47529,1.25877
wistarts_with,strnicmp_cstr,20,100,1000,0,1.06878,0.202,4.9505e+06,202,231.36,286,528.495,22.989,0.28422,-1.13355,1.27713
wistarts_with,strnicmp_cstr,30,100,1000,0,1.08466,0.205,4.87805e+06,205,238.1,283,577.121,24.0233,0.00191068,-1.28583,1.37783
wistarts_with,strnicmp_cstr,40,100,1000,0,1.22222,0.231,4.329e+06,231,263.38,301,202.319,14.2239,0.425268,0.0154166,2.27645
wistarts_with,strnicmp_cstr,50,100,1000,0,1.24868,0.236,4.23729e+06,236,260.08,302,228.297,15.1095,0.0612791,-0.823278,1.5937
wistarts_with,strnicmp_cstr,60,100,1000,0,1.26984,0.24,4.16667e+06,240,265.3,289,109.384,10.4587,0.0275909,-0.193212,2.41904
wistarts_with,strnicmp_cstr,70,100,1000,0,1.27513,0.241,4.14938e+06,241,269.04,293,94.6448,9.72856,-0.0355728,0.124117,2.88224
wistarts_with,strnicmp_cstr,80,100,1000,0,1.25397,0.237,4.21941e+06,237,270.26,308,331.629,18.2107,-0.0784796,-1.05678,1.8264
wistarts_with,strnicmp_cstr,90,100,1000,0,1.24868,0.236,4.23729e+06,236,272.97,314,340.858,18.4623,-0.0960981,-0.914131,2.00246
wistarts_with,strnicmp_cstr,100,100,1000,0,1.24868,0.236,4.23729e+06,236,268.59,308,379.537,19.4817,0.0432327,-1.23013,1.67285
wistarts_with,strnicmp_cstr,512,100,1000,0,1.50265,0.284,3.52113e+06,284,338.57,400,675.136,25.9834,-0.249549,-0.69951,2.10019
wistarts_with,strnicmp_cstr,1024,100,1000,0,1.95238,0.369,2.71003e+06,369,422.05,489,1130.69,33.6258,0.0144977,-1.21751,1.57766
wistarts_with,strnicmp_stdstr,0,100,1000,0,0.994709,0.188,5.31915e+06,188,210.81,265,460.277,21.4541,0.442727,-1.07395,1.0632
wistarts_with,strnicmp_stdstr,10,100,1000,0,1,0.189,5.29101e+06,189,209.83,270,445.86,21.1154,0.520004,-0.803265,0.986484
wistarts_with,strnicmp_stdstr,20,100,1000,0,1.01058,0.191,5.2356e+06,191,216.5,279,437.869,20.9253,0.125824,-0.832107,1.21862
wistarts_with,strnicmp_stdstr,30,100,1000,0,1.01058,0.191,5.2356e+06,191,214.12,295,492.975,22.203,0.578736,-0.0124747,1.0413
wistarts_with,strnicmp_stdstr,40,100,1000,0,1.01058,0.191,5.2356e+06,191,213.12,255,390.167,19.7527,0.152131,-1.45159,1.11985
wistarts_with,strnicmp_stdstr,50,100,1000,0,1.01058,0.191,5.2356e+06,191,213.56,266,385.623,19.6373,0.312979,-0.931542,1.14884
wistarts_with,strnicmp_stdstr,60,100,1000,0,1.01058,0.191,5.2356e+06,191,213.85,264,445.381,21.1041,0.293927,-1.25423,1.08273
wistarts_with,strnicmp_stdstr,70,100,1000,0,1.01058,0.191,5.2356e+06,191,213.49,272,455.384,21.3397,0.486669,-0.804808,1.0539
wistarts_with,strnicmp_stdstr,80,100,1000,0,1.01058,0.191,5.2356e+06,191,216.29,255,418.026,20.4457,0.0332939,-1.3688,1.23694
wistarts_with,strnicmp_stdstr,90,100,1000,0,1.01058,0.191,5.2356e+06,191,213.32,268,418.119,20.448,0.347556,-0.961986,1.09155
wistarts_with,strnicmp_stdstr,100,100,1000,0,1.01058,0.191,5.2356e+06,191,212.97,256,439.666,20.9682,0.257054,-1.48864,1.04778
wistarts_with,strnicmp_stdstr,512,100,1000,0,1,0.189,5.29101e+06,189,208.33,255,383.617,19.5862,0.460748,-1.24461,0.986922
wistarts_with,strnicmp_stdstr,1024,100,1000,0,0.994709,0.188,5.31915e+06,188,208.69,255,389.125,19.7263,0.527004,-1.07179,1.04886
wistarts_with,boost_cstr,0,100,1000,0,1.10053,0.208,4.80769e+06,208,232.32,286,508.644,22.5531,0.468923,-1.19335,1.07834
wistarts_with,boost_cstr,10,100,1000,0,2.98942,0.565,1.76991e+06,565,657.28,804,2788.08,52.8023,0.616058,0.00331645,1.74765
wistarts_with,boost_cstr,20,100,1000,0,5.47619,1.035,966184,1035,1156.34,1358,6482.17,80.5119,0.313899,-0.847895,1.50711
wistarts_with,boost_cstr,30,100,1000,0,7.53968,1.425,701754,1425,1632.46,1828,8470.07,92.033,-0.283494,-0.80592,2.25419
wistarts_with,boost_cstr,40,100,1000,0,9.67725,1.829,546747,1829,1960.56,2275,3760.19,61.3204,1.34843,5.69748,2.14545
wistarts_with,boost_cstr,50,100,1000,0,11.8836,2.246,445236,2246,2391.87,2591,4358.07,66.0157,0.255137,0.10221,2.20963
wistarts_with,boost_cstr,60,100,1000,0,14.328,2.708,369276,2708,2841.12,3144,5674.93,75.3322,0.907266,1.89992,1.76711
wistarts_with,boost_cstr,70,100,1000,0,16.6561,3.148,317662,3148,3337.66,3893,15993.5,126.465,1.62092,4.22745,1.4997
wistarts_with,boost_cstr,80,100,1000,0,18.7937,3.552,281532,3552,3738.5,4149,8261.42,90.8924,1.93228,6.03959,2.05188
wistarts_with,boost_cstr,90,100,1000,0,21.0899,3.986,250878,3986,4193.73,4460,9392.97,96.9173,0.486707,-0.0798184,2.14337
wistarts_with,boost_cstr,100,100,1000,0,23.4921,4.44,225225,4440,4695.12,5100,18966.9,137.72,0.860492,0.882936,1.85245
wistarts_with,boost_cstr,512,100,1000,0,120.524,22.779,43900.1,22779,23755.8,25956,364913,604.08,1.55856,3.02224,1.61697
wistarts_with,boost_cstr,1024,100,1000,0,238.889,45.15,22148.4,45150,46335.5,49966,747174,864.392,1.97265,4.39822,1.37148
wistarts_with,boost_stdstr,0,100,1000,0,1.07407,0.203,4.92611e+06,203,227.2,311,558.182,23.6259,0.625233,-0.142351,1.0243
wistarts_with,boost_stdstr,10,100,1000,0,2.99471,0.566,1.76678e+06,566,653.7,799,2131.83,46.1717,0.602213,1.05723,1.89943
wistarts_with,boost_stdstr,20,100,1000,0,5.26455,0.995,1.00503e+06,995,1085.7,1241,2570.09,50.6961,0.8299,0.758021,1.78909
wistarts_with,boost_stdstr,30,100,1000,0,7.46032,1.41,709220,1410,1511.31,1656,3426.74,58.5384,0.343439,-0.698645,1.73066
wistarts_with,boost_stdstr,40,100,1000,0,9.82011,1.856,538793,1856,1990.77,2218,3782.26,61.5001,0.901954,1.5654,2.19138
wistarts_with,boost_stdstr,50,100,1000,0,11.8677,2.243,445831,2243,2441.02,2708,8060.04,89.7777,0.604638,0.724425,2.20567
wistarts_with,boost_stdstr,60,100,1000,0,14.0635,2.658,376223,2658,2863.78,3075,9108.98,95.441,0.24426,-0.630954,2.1561
wistarts_with,boost_stdstr,70,100,1000,0,16.2646,3.074,325309,3074,3253.25,3475,5100.03,71.4145,0.0540002,0.273706,2.51
wistarts_with,boost_stdstr,80,100,1000,0,18.254,3.45,289855,3450,3748.86,4129,16480.9,128.378,0.770292,0.833888,2.32797
wistarts_with,boost_stdstr,90,100,1000,0,20.8201,3.935,254130,3935,4166.31,4384,8270.42,90.9418,-0.098812,-0.385817,2.54349
wistarts_with,boost_stdstr,100,100,1000,0,23.2434,4.393,227635,4393,4742.24,5395,64566.7,254.1,1.05205,0.0294208,1.37442
wistarts_with,boost_stdstr,512,100,1000,0,119.794,22.641,44167.7,22641,23507.4,25830,354374,595.293,1.44221,2.13884,1.45547
wistarts_with,boost_stdstr,1024,100,1000,0,239.921,45.345,22053.1,45345,46873.8,50359,731855,855.485,1.07263,1.7335,1.78707
