Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wkt,to_string,1,30,2048,0,1,0.581055,1.72101e+06,1190,1883.93,2694,88583.7,297.63,-0.184669,1.63141,2.33153
wkt,to_string,256,30,100,0,1,237.61,4208.58,23761,24565.2,26102,319420,565.173,1.3183,1.37585,1.42287
wkt,to_string,512,30,100,0,1,479.45,2085.72,47945,49299.3,51488,703665,838.847,0.802977,0.100993,1.61444
wkt,to_string,1024,30,100,0,1,970.84,1030.04,97084,102852,126727,5.10592e+07,7145.57,2.2591,4.41194,0.807167
wkt,stringstream,1,30,2048,0,1.4521,0.84375,1.18519e+06,1728,2309.27,2674,27077,164.551,-1.01124,4.07607,3.53244
wkt,stringstream,256,30,100,0,0.914945,217.4,4599.82,21740,22763.5,24209,411073,641.15,0.818673,-0.0671291,1.5964
wkt,stringstream,512,30,100,0,0.926374,444.15,2251.49,44415,46954.7,48937,1.48509e+06,1218.64,-0.435119,-0.316745,2.08401
wkt,stringstream,1024,30,100,0,0.924251,897.3,1114.45,89730,98329.2,115950,3.87285e+07,6223.22,1.16918,0.720105,1.38179
wkt,lexical_cast,1,30,1024,0,2.57647,1.49707,667971,1533,2378.43,2728,110305,332.122,-0.778041,-0.660689,2.54555
wkt,lexical_cast,256,30,100,0,1.9484,462.96,2160.01,46296,54237.1,60208,2.1604e+07,4648.01,-0.0709582,-1.39376,1.7085
wkt,lexical_cast,512,30,100,0,1.90429,913.01,1095.28,91301,93590.8,97865,2.28519e+06,1511.68,0.888384,0.792637,1.51471
wkt,lexical_cast,1024,30,100,0,1.90099,1845.56,541.841,184556,188056,200040,1.11576e+07,3340.3,2.31121,5.3536,1.04793
wkt,wkt,1,30,2048,0,1.77731,1.03271,968322,2115,2573.43,2957,31198.7,176.632,-0.302086,0.439468,2.59542
wkt,wkt,256,30,100,0,0.995244,236.48,4228.69,23648,24390,26266,378890,615.54,1.26009,1.27897,1.20539
wkt,wkt,512,30,100,0,0.984336,471.94,2118.91,47194,48433.3,49668,341870,584.696,0.261824,-0.233728,2.1195
wkt,wkt,1024,30,100,0,0.987835,959.03,1042.72,95903,97574,101119,985643,992.796,1.34477,3.59846,1.68316
wkt,to_wkt,1,30,512,0,3.15294,1.83203,545842,938,1200.63,1490,8861.41,94.1351,-0.151412,3.75979,2.78996
wkt,to_wkt,256,30,100,0,2.42006,575.03,1739.04,57503,58551.2,61463,830633,911.391,1.65329,2.54755,1.15007
wkt,to_wkt,512,30,100,0,2.41704,1158.85,862.924,115885,117594,120700,1.27923e+06,1131.03,0.530455,0.250734,1.51116
wkt,to_wkt,1024,30,100,0,2.40678,2336.6,427.972,233660,265384,295763,5.52318e+08,23501.5,-0.204055,-1.66475,1.3499
wkt,to_wkt_6digits,1,30,512,0,3.38824,1.96875,507937,1008,1240.47,1485,14662,121.087,0.119144,-0.228865,1.91984
wkt,to_wkt_6digits,256,30,100,0,2.41316,573.39,1744.01,57339,58954,62486,1.0514e+06,1025.38,1.25839,2.86237,1.57506
wkt,to_wkt_6digits,512,30,100,0,2.39608,1148.8,870.474,114880,117330,122554,1.98809e+06,1410,1.6437,4.47616,1.73757
wkt,to_wkt_6digits,1024,30,100,0,2.38725,2317.64,431.473,231764,238189,264933,5.54188e+07,7444.38,2.30031,4.76828,0.863067
