Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
ends_with,strncmp,0,100,1000,0,1,0.019,5.26316e+07,19,22.06,49,18.057,4.24935,3.79086,17.2981,0.72011
ends_with,strncmp,10,100,1000,0,1,0.022,4.54545e+07,22,25.37,42,18.4577,4.29624,2.27463,4.96493,0.784407
ends_with,strncmp,20,100,1000,0,1,0.021,4.7619e+07,21,23.4,43,11.2121,3.34845,4.30042,19.5735,0.716749
ends_with,strncmp,30,100,1000,0,1,0.023,4.34783e+07,23,24.78,28,2.13293,1.46046,1.3441,0.555585,1.2188
ends_with,strncmp,40,100,1000,0,1,0.024,4.16667e+07,24,25.64,26,0.273131,0.52262,-1.00501,-0.135359,3.13804
ends_with,strncmp,50,100,1000,0,1,0.028,3.57143e+07,28,29.2,31,0.242424,0.492366,1.42887,2.66667,2.43721
ends_with,strncmp,60,100,1000,0,1,0.031,3.22581e+07,31,33.03,55,15.7264,3.96565,3.65589,13.5856,0.511896
ends_with,strncmp,70,100,1000,0,1,0.03,3.33333e+07,30,33.64,35,2.49535,1.57967,-1.12425,-0.224887,2.30428
ends_with,strncmp,80,100,1000,0,1,0.031,3.22581e+07,31,32.2,35,0.464646,0.68165,2.80781,9.13233,1.76043
ends_with,strncmp,90,100,1000,0,1,0.035,2.85714e+07,35,36.13,63,8.76071,2.95985,7.81467,66.7786,0.381776
ends_with,strncmp,100,100,1000,0,1,0.037,2.7027e+07,37,39.16,68,14.9034,3.8605,5.52908,33.7648,0.559514
ends_with,strncmp,512,100,1000,0,1,0.106,9.43396e+06,106,107.65,172,50.7955,7.12709,7.87622,65.9347,0.231511
ends_with,strncmp,1024,100,1000,0,1,0.177,5.64972e+06,177,182.02,243,104.727,10.2336,4.69183,22.1537,0.49054
ends_with,strnicmp_cstr,0,100,1000,0,1.05263,0.02,5e+07,20,22.99,50,18.9191,4.34961,3.55162,15.8858,0.687418
ends_with,strnicmp_cstr,10,100,1000,0,1.31818,0.029,3.44828e+07,29,34.28,59,29.8804,5.4663,2.10036,4.62057,0.965919
ends_with,strnicmp_cstr,20,100,1000,0,1.7619,0.037,2.7027e+07,37,38.06,39,0.440808,0.663934,-0.0651015,-0.715534,1.59654
ends_with,strnicmp_cstr,30,100,1000,0,2.04348,0.047,2.12766e+07,47,47.67,49,0.243535,0.493493,-0.467746,-1.15046,1.35767
ends_with,strnicmp_cstr,40,100,1000,0,2.29167,0.055,1.81818e+07,55,58.32,99,30.543,5.52657,5.41568,32.9819,0.600734
ends_with,strnicmp_cstr,50,100,1000,0,2.39286,0.067,1.49254e+07,67,84.71,94,119.077,10.9122,-0.794004,-1.31916,1.62295
ends_with,strnicmp_cstr,60,100,1000,0,2.67742,0.083,1.20482e+07,83,100.65,150,172.25,13.1244,1.54456,3.86429,1.34482
ends_with,strnicmp_cstr,70,100,1000,0,3.66667,0.11,9.09091e+06,110,123.11,181,177.614,13.3272,1.54495,3.02326,0.983703
ends_with,strnicmp_cstr,80,100,1000,0,3.83871,0.119,8.40336e+06,119,123.48,178,73.7067,8.58526,4.09925,18.9549,0.521825
ends_with,strnicmp_cstr,90,100,1000,0,3.68571,0.129,7.75194e+06,129,139.98,209,441.515,21.0123,2.10896,3.02104,0.522552
ends_with,strnicmp_cstr,100,100,1000,0,3.81081,0.141,7.0922e+06,141,147.82,212,100.291,10.0145,3.75269,17.3028,0.681012
ends_with,strnicmp_cstr,512,100,1000,0,4.99057,0.529,1.89036e+06,529,544,640,393.313,19.8321,3.85328,14.3722,0.756349
ends_with,strnicmp_cstr,1024,100,1000,0,5.66667,1.003,997009,1003,1047.73,1259,5648.24,75.1548,1.63419,1.2271,0.595172
ends_with,strnicmp_stdstr,0,100,1000,0,1,0.019,5.26316e+07,19,20.64,21,0.273131,0.52262,-1.00501,-0.135359,3.13804
ends_with,strnicmp_stdstr,10,100,1000,0,1.04545,0.023,4.34783e+07,23,24.25,27,0.977273,0.988571,0.177324,-0.548725,1.26445
ends_with,strnicmp_stdstr,20,100,1000,0,1.04762,0.022,4.54545e+07,22,22.88,24,0.349091,0.590839,0.0302406,-0.212963,1.48941
ends_with,strnicmp_stdstr,30,100,1000,0,1.04348,0.024,4.16667e+07,24,25.97,52,17.4031,4.17171,4.02325,18.0142,0.472229
