Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
escape_xml,single_pass,0,30,33554432,0,1,0.026671,3.74939e+07,894931,904249,934218,1.10954e+08,10533.5,1.83177,2.36752,0.884653
escape_xml,single_pass,10,30,100,0,1,3.59,278552,359,648.933,987,32219.2,179.497,0.162521,-1.18759,1.61525
escape_xml,single_pass,20,30,100,0,1,5.66,176678,566,1269.3,1658,71028.9,266.512,-0.691653,0.121836,2.6389
escape_xml,single_pass,30,30,100,0,1,15.47,64641.2,1547,2031.47,2687,76074.1,275.815,0.363092,-0.285616,1.75649
escape_xml,single_pass,40,30,100,0,1,22.29,44863.2,2229,2743.93,3608,121119,348.021,0.594034,-0.315287,1.4796
escape_xml,single_pass,50,30,100,0,1,26.27,38066.2,2627,3417.27,4561,257029,506.98,0.48236,-0.496796,1.55877
escape_xml,single_pass,60,30,100,0,1,33.19,30129.6,3319,4355.53,5044,198265,445.269,-0.676603,-0.51192,2.32788
escape_xml,single_pass,70,30,100,0,1,35.65,28050.5,3565,4715.6,5966,312965,559.432,0.377412,0.0162111,2.05673
escape_xml,single_pass,80,30,100,0,1,41.75,23952.1,4175,5754.07,6902,362358,601.962,-0.648249,0.453574,2.6232
escape_xml,single_pass,90,30,100,0,1,46.57,21473.1,4657,6415.4,7804,720370,848.746,-0.457041,-0.697859,2.07176
escape_xml,single_pass,100,30,100,0,1,63.85,15661.7,6385,7355.1,9145,426825,653.318,0.917591,0.651842,1.48488
escape_xml,single_pass,512,30,100,0,1,635.77,1572.9,63577,69975.6,78428,1.50494e+07,3879.36,0.434944,-0.535462,1.6494
escape_xml,single_pass,1024,30,100,0,1,2016.49,495.911,201649,218184,234728,7.62093e+07,8729.8,-0.00195843,-0.792184,1.89412
escape_xml,multi_pass,0,30,134217728,0,0.402483,0.0107346,9.31564e+07,1440778,1.46005e+06,1504058,2.72535e+08,16508.6,1.23431,0.79941,1.16726
escape_xml,multi_pass,10,30,100,0,8.72423,31.32,31928.5,3132,3184.9,3248,948.99,30.8057,0.45056,-0.883592,1.71722
escape_xml,multi_pass,20,30,100,0,11.1961,63.37,15780.3,6337,6400.43,6543,2199.77,46.9017,0.84066,0.89423,1.35247
escape_xml,multi_pass,30,30,100,0,6.20944,96.06,10410.2,9606,9684.7,9950,4766.15,69.0373,1.89221,5.31138,1.13996
escape_xml,multi_pass,40,30,100,0,5.80126,129.31,7733.35,12931,13091.9,13231,5343.5,73.0992,0.11241,-0.507866,2.20066
escape_xml,multi_pass,50,30,100,0,6.18957,162.6,6150.06,16260,16438.7,16702,7417.54,86.1251,0.777731,1.52341,2.0745
escape_xml,multi_pass,60,30,100,0,5.95089,197.51,5063.03,19751,19914.8,20188,7917.68,88.9814,0.820869,1.39541,1.84083
escape_xml,multi_pass,70,30,100,0,6.4993,231.7,4315.93,23170,23341.9,23499,8666,93.0913,0.0669679,-1.10655,1.84693
escape_xml,multi_pass,80,30,100,0,6.40766,267.52,3738.04,26752,26894.7,27091,6110.77,78.1714,0.277499,-0.17954,1.82548
escape_xml,multi_pass,90,30,100,0,6.50633,303,3300.33,30300,30546.3,30929,21595.2,146.953,0.667888,-0.00728756,1.67582
escape_xml,multi_pass,100,30,100,0,5.31715,339.5,2945.51,33950,34308.6,36394,187469,432.977,3.8898,16.293,0.82822
escape_xml,multi_pass,512,30,100,0,4.11455,2615.91,382.276,261591,264376,271614,6.42657e+06,2535.07,1.57086,2.02453,1.09859
escape_xml,multi_pass,1024,30,100,0,3.79546,7653.51,130.659,765351,770768,785787,2.43313e+07,4932.67,1.58333,2.08839,1.0982
escape_xml,boost_multi_pass,0,30,33554432,0,1.62943,0.0434586,2.30104e+07,1458230,1.49177e+06,1533759,4.30841e+08,20756.7,0.0841575,-0.910546,1.61609
escape_xml,boost_multi_pass,10,30,100,0,7.11978,25.56,39123.6,2556,2597.07,2697,1689.86,41.1079,1.10888,0.0777232,0.998998
escape_xml,boost_multi_pass,20,30,100,0,8.83746,50.02,19992,5002,5078.37,5273,4118.45,64.1751,1.30434,1.16669,1.18997
escape_xml,boost_multi_pass,30,30,100,0,4.84486,74.95,13342.2,7495,7578.1,7662,2343.06,48.4052,0.1485,-0.942332,1.71676
escape_xml,boost_multi_pass,40,30,100,0,4.45446,99.29,10071.5,9929,10055.9,10186,4814.78,69.3886,0.0597487,-1.12837,1.82883
escape_xml,boost_multi_pass,50,30,100,0,4.73392,124.36,8041.17,12436,12597.5,12683,4170.67,64.5807,-0.545474,-0.376871,2.50023
escape_xml,boost_multi_pass,60,30,100,0,4.51461,149.84,6673.79,14984,15075.4,15412,10645,103.175,1.75157,2.53291,0.885554
escape_xml,boost_multi_pass,70,30,100,0,4.9108,175.07,5712,17507,17660.6,18042,15084.6,122.819,1.23024,1.35586,1.25035
escape_xml,boost_multi_pass,80,30,100,0,4.7715,199.21,5019.83,19921,20051,20284,9755.38,98.7693,0.680309,-0.555544,1.3162
escape_xml,boost_multi_pass,90,30,100,0,4.81254,224.12,4461.9,22412,22717.9,23376,70553.7,265.619,0.94907,0.0187557,1.15152
escape_xml,boost_multi_pass,100,30,100,0,3.89428,248.65,4021.72,24865,25409.4,26411,200545,447.823,0.711896,-0.825095,1.21573
escape_xml,boost_multi_pass,512,30,100,0,2.01007,1277.94,782.509,127794,128436,129625,205428,453.242,0.943793,0.446489,1.41676
escape_xml,boost_multi_pass,1024,30,100,0,1.26658,2554.05,391.535,255405,258006,263974,3.3396e+06,1827.46,1.1455,2.00153,1.42351
