Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
fmtlib,default_buffer,0,100,1000,0,1,0.796,1.25628e+06,796,933.22,1078,6798.23,82.4514,-0.0543996,-1.4072,1.66425
fmtlib,default_buffer,10,100,1000,0,1,0.796,1.25628e+06,796,920.71,1130,5626.85,75.0124,0.453271,-0.29689,1.66253
fmtlib,default_buffer,20,100,1000,0,1,0.807,1.23916e+06,807,932.03,1130,5392.51,73.4337,0.719011,-0.115704,1.70262
fmtlib,default_buffer,30,100,1000,0,1,0.796,1.25628e+06,796,911.95,1163,6269.04,79.1773,0.537862,-0.332008,1.46444
fmtlib,default_buffer,40,100,1000,0,1,0.806,1.24069e+06,806,911.52,1086,5978.25,77.3192,0.455281,-0.730752,1.36473
fmtlib,default_buffer,50,100,1000,0,1,0.804,1.24378e+06,804,903.44,1045,4033.74,63.5118,0.21229,-0.824303,1.56569
fmtlib,default_buffer,60,100,1000,0,1,0.8,1.25e+06,800,888.15,1147,6428.21,80.1761,1.04137,0.667278,1.09945
fmtlib,default_buffer,70,100,1000,0,1,0.798,1.25313e+06,798,919.37,1090,4284.58,65.4567,0.0723548,-0.606228,1.8542
fmtlib,default_buffer,80,100,1000,0,1,0.806,1.24069e+06,806,918.41,1056,5433.11,73.7097,0.225333,-1.22827,1.52504
fmtlib,default_buffer,90,100,1000,0,1,0.807,1.23916e+06,807,914.13,1131,7449.04,86.3078,0.648474,-0.411946,1.24125
fmtlib,default_buffer,100,100,1000,0,1,0.794,1.25945e+06,794,911.72,1097,5145.66,71.7332,0.363781,-0.719553,1.64108
fmtlib,default_buffer,512,100,1000,0,1,0.8,1.25e+06,800,899.15,1085,5013.44,70.8057,0.514012,-0.723972,1.40031
fmtlib,default_buffer,1024,100,1000,0,1,0.808,1.23762e+06,808,910.53,1117,5847.14,76.4666,0.675578,-0.125476,1.34085
fmtlib,string_buf32,0,100,1000,0,0.638191,0.508,1.9685e+06,508,582.96,701,2176.46,46.6526,0.158416,-0.518538,1.60677
fmtlib,string_buf32,10,100,1000,0,0.636935,0.507,1.97239e+06,507,587.36,704,3066.31,55.3743,0.222994,-1.05713,1.45121
fmtlib,string_buf32,20,100,1000,0,0.628253,0.507,1.97239e+06,507,576.63,679,2697.21,51.9346,0.138218,-1.17755,1.34072
fmtlib,string_buf32,30,100,1000,0,0.636935,0.507,1.97239e+06,507,591.34,710,2715.88,52.1141,0.0722452,-0.954733,1.61837
fmtlib,string_buf32,40,100,1000,0,0.629032,0.507,1.97239e+06,507,576.08,689,2190.58,46.8036,0.0817106,-1.03303,1.47595
fmtlib,string_buf32,50,100,1000,0,0.630597,0.507,1.97239e+06,507,589.67,710,2703.8,51.9981,0.128364,-0.98895,1.58987
fmtlib,string_buf32,60,100,1000,0,0.63375,0.507,1.97239e+06,507,590.65,688,2097.74,45.8011,-0.137225,-0.751584,1.82637
fmtlib,string_buf32,70,100,1000,0,0.636591,0.508,1.9685e+06,508,584.26,714,2573.53,50.7299,0.259199,-0.579874,1.50325
fmtlib,string_buf32,80,100,1000,0,0.629032,0.507,1.97239e+06,507,582.87,685,2051.53,45.2938,-0.0114174,-0.812053,1.67506
fmtlib,string_buf32,90,100,1000,0,0.628253,0.507,1.97239e+06,507,577.48,698,2348.05,48.4567,0.27881,-0.684712,1.45449
fmtlib,string_buf32,100,100,1000,0,0.641058,0.509,1.96464e+06,509,573.04,760,2862.58,53.5031,0.861144,0.669934,1.19694
fmtlib,string_buf32,512,100,1000,0,0.63375,0.507,1.97239e+06,507,591.14,726,2770.2,52.6327,0.125843,-0.675619,1.59863
fmtlib,string_buf32,1024,100,1000,0,0.628713,0.508,1.9685e+06,508,585.78,697,2029.91,45.0545,0.10365,-0.684951,1.72635
fmtlib,string_buf256,0,100,1000,0,0.729899,0.581,1.72117e+06,581,671.52,830,3783.16,61.5074,0.220278,-0.780157,1.47169
fmtlib,string_buf256,10,100,1000,0,0.728643,0.58,1.72414e+06,580,654.96,837,3851.53,62.0607,0.613309,-0.174164,1.20785
fmtlib,string_buf256,20,100,1000,0,0.71995,0.581,1.72117e+06,581,671.5,785,3176.45,56.36,0.0390377,-1.02244,1.60575
fmtlib,string_buf256,30,100,1000,0,0.717337,0.571,1.75131e+06,571,664.43,770,3036.55,55.1049,0.102606,-1.04284,1.69549
fmtlib,string_buf256,40,100,1000,0,0.707196,0.57,1.75439e+06,570,666.99,799,2652.78,51.5051,0.136493,-0.508389,1.88311
fmtlib,string_buf256,50,100,1000,0,0.715174,0.575,1.73913e+06,575,665.5,801,3593.42,59.9452,0.235037,-0.990922,1.50971
fmtlib,string_buf256,60,100,1000,0,0.72,0.576,1.73611e+06,576,655.76,876,3125.66,55.9076,0.81284,1.36211,1.42664
fmtlib,string_buf256,70,100,1000,0,0.72807,0.581,1.72117e+06,581,667.04,787,3016,54.9181,0.219556,-0.913864,1.5667
fmtlib,string_buf256,80,100,1000,0,0.718362,0.579,1.72712e+06,579,659.48,797,3026.13,55.0103,0.171158,-0.694846,1.463
fmtlib,string_buf256,90,100,1000,0,0.707559,0.571,1.75131e+06,571,669.74,791,2323.83,48.2061,-0.186698,-0.33254,2.04829
fmtlib,string_buf256,100,100,1000,0,0.732997,0.582,1.71821e+06,582,665.23,784,2833.8,53.2334,0.152042,-0.770632,1.56349
