Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
iends_with,strnicmp,0,100,1000,0,1,0.02,5e+07,20,22.01,49,10.0504,3.17024,6.89783,52.7448,0.634022
iends_with,strnicmp,10,100,1000,0,1,0.032,3.125e+07,32,34.46,51,8.37212,2.89346,3.90851,16.4587,0.850193
iends_with,strnicmp,20,100,1000,0,1,0.045,2.22222e+07,45,48.54,82,32.5943,5.70915,3.34109,14.0758,0.620058
iends_with,strnicmp,30,100,1000,0,1,0.057,1.75439e+07,57,60.59,78,9.01202,3.002,2.56265,11.2234,1.19587
iends_with,strnicmp,40,100,1000,0,1,0.07,1.42857e+07,70,74.76,113,45.6186,6.75415,3.77434,16.4446,0.704752
iends_with,strnicmp,50,100,1000,0,1,0.083,1.20482e+07,83,87.43,99,9.39909,3.06579,0.764745,1.11015,1.44498
iends_with,strnicmp,60,100,1000,0,1,0.096,1.04167e+07,96,102.56,147,44.4913,6.67018,4.30024,23.8859,0.983482
iends_with,strnicmp,70,100,1000,0,1,0.109,9.17431e+06,109,117.32,177,79.1289,8.89544,4.20714,22.3579,0.93531
iends_with,strnicmp,80,100,1000,0,1,0.122,8.19672e+06,122,130.03,176,56.5546,7.52028,3.46966,16.6266,1.06778
iends_with,strnicmp,90,100,1000,0,1,0.134,7.46269e+06,134,146.42,195,119.68,10.9399,2.36887,5.77021,1.1353
iends_with,strnicmp,100,100,1000,0,1,0.151,6.62252e+06,151,160.6,227,179.98,13.4157,3.15689,10.5113,0.715582
iends_with,strnicmp,512,100,1000,0,1,0.715,1.3986e+06,715,777.65,954,4425.4,66.5237,1.33437,0.359835,0.94177
iends_with,strnicmp,1024,100,1000,0,1,1.457,686342,1457,1528.3,1776,4544.8,67.4151,1.61494,2.03773,1.05763
iends_with,strnicmp_cstr,0,100,1000,0,1,0.02,5e+07,20,21.11,22,0.139293,0.37322,1.23342,2.89232,2.97412
iends_with,strnicmp_cstr,10,100,1000,0,1.25,0.04,2.5e+07,40,50.27,74,63.0476,7.94025,1.1938,0.977448,1.29341
iends_with,strnicmp_cstr,20,100,1000,0,1.33333,0.06,1.66667e+07,60,63.16,79,8.39838,2.898,2.42781,9.08246,1.09041
iends_with,strnicmp_cstr,30,100,1000,0,1.40351,0.08,1.25e+07,80,85.42,114,37.0541,6.08721,2.28959,5.69574,0.890391
iends_with,strnicmp_cstr,40,100,1000,0,1.42857,0.1,1e+07,100,107.53,160,71.3425,8.44645,3.141,14.2974,0.891499
iends_with,strnicmp_cstr,50,100,1000,0,1.48193,0.123,8.13008e+06,123,157.26,204,115.447,10.7446,0.831408,7.368,3.18857
iends_with,strnicmp_cstr,60,100,1000,0,1.55208,0.149,6.71141e+06,149,177.41,239,135.719,11.6499,1.89137,11.6396,2.43866
iends_with,strnicmp_cstr,70,100,1000,0,1.77064,0.193,5.18135e+06,193,202.33,264,84.2031,9.17623,4.35278,23.9635,1.01676
iends_with,strnicmp_cstr,80,100,1000,0,1.56557,0.191,5.2356e+06,191,225.76,296,160.891,12.6843,3.12878,13.4002,2.7404
iends_with,strnicmp_cstr,90,100,1000,0,1.76119,0.236,4.23729e+06,236,246.7,306,76.1111,8.72417,4.86623,28.5042,1.22648
iends_with,strnicmp_cstr,100,100,1000,0,1.70199,0.257,3.89105e+06,257,270.86,349,172.566,13.1364,3.71246,16.9183,1.05508
iends_with,strnicmp_cstr,512,100,1000,0,1.6014,1.145,873362,1145,1203.97,1502,3504.19,59.1962,2.61831,7.82565,0.996179
iends_with,strnicmp_cstr,1024,100,1000,0,1.5429,2.248,444840,2248,2387.75,2813,10246,101.222,2.24557,5.74335,1.38062
iends_with,strnicmp_stdstr,0,100,1000,0,0.95,0.019,5.26316e+07,19,20.65,22,0.270202,0.51981,-0.62341,-0.5176,3.17424
iends_with,strnicmp_stdstr,10,100,1000,0,1.03125,0.033,3.0303e+07,33,35.08,66,20.8016,4.56088,4.66236,24.9695,0.456052
iends_with,strnicmp_stdstr,20,100,1000,0,1,0.045,2.22222e+07,45,46.74,56,3.20444,1.7901,1.76483,5.70018,0.972015
iends_with,strnicmp_stdstr,30,100,1000,0,1.01754,0.058,1.72414e+07,58,60.8,67,4.9697,2.22928,0.439839,-0.613127,1.25601
iends_with,strnicmp_stdstr,40,100,1000,0,1.01429,0.071,1.40845e+07,71,78.25,103,55.9268,7.47842,1.42036,1.37689,0.969456
iends_with,strnicmp_stdstr,50,100,1000,0,1,0.083,1.20482e+07,83,89.94,133,49.4105,7.02926,3.35963,15.0986,0.987302
iends_with,strnicmp_stdstr,60,100,1000,0,1.01042,0.097,1.03093e+07,97,101.74,110,9.52768,3.08669,0.332592,-0.320339,1.53562
iends_with,strnicmp_stdstr,70,100,1000,0,1,0.109,9.17431e+06,109,118.76,166,112.548,10.6089,3.10694,9.77475,0.919986
iends_with,strnicmp_stdstr,80,100,1000,0,1,0.122,8.19672e+06,122,137.48,202,309.767,17.6002,1.82334,2.47131,0.879535
iends_with,strnicmp_stdstr,90,100,1000,0,1.02239,0.137,7.29927e+06,137,146.39,197,113.473,10.6524,2.80063,8.71442,0.881495
iends_with,strnicmp_stdstr,100,100,1000,0,0.986755,0.149,6.71141e+06,149,159.53,211,64.5546,8.03459,3.10197,15.7197,1.31058
iends_with,strnicmp_stdstr,512,100,1000,0,0.986014,0.705,1.41844e+06,705,750.67,882,1102.61,33.2055,2.06716,4.85421,1.37537
iends_with,strnicmp_stdstr,1024,100,1000,0,0.996568,1.452,688705,1452,1548.01,1930,9394.96,96.9276,2.21412,4.79626,0.990533
iends_with,boost_cstr,0,100,1000,0,4.5,0.09,1.11111e+07,90,91.77,135,36.6637,6.05506,5.38865,30.9917,0.292318
iends_with,boost_cstr,10,100,1000,0,20.4063,0.653,1.53139e+06,653,660.89,804,637.21,25.243,4.25073,17.538,0.312562
iends_with,boost_cstr,20,100,1000,0,27.0444,1.217,821693,1217,1278.14,1509,4393.86,66.2862,0.881589,0.353478,0.922364
iends_with,boost_cstr,30,100,1000,0,31.2105,1.779,562114,1779,1804.31,2028,2989,54.6718,2.50002,5.59525,0.462944
iends_with,boost_cstr,40,100,1000,0,33.5,2.345,426439,2345,2378.18,2787,4858.19,69.7007,3.12818,12.0772,0.476035
iends_with,boost_cstr,50,100,1000,0,35.0964,2.913,343289,2913,3271.4,3676,53119.9,230.478,-0.0344581,-1.23531,1.55503
iends_with,boost_cstr,60,100,1000,0,36.3646,3.491,286451,3491,3594.14,4319,23342.4,152.782,1.89406,4.19831,0.675078
iends_with,boost_cstr,70,100,1000,0,37.2018,4.055,246609,4055,4122.2,4633,12093.6,109.971,2.38925,6.21489,0.611072
iends_with,boost_cstr,80,100,1000,0,37.877,4.621,216403,4621,4815.5,5800,80655.9,284,1.69498,2.10668,0.68486
iends_with,boost_cstr,90,100,1000,0,38.694,5.185,192864,5185,5258.1,5889,14647,121.025,2.91845,11.0966,0.604009
iends_with,boost_cstr,100,100,1000,0,38.0795,5.75,173913,5750,5836.38,6420,15319.4,123.772,2.43542,7.24344,0.697898
iends_with,boost_cstr,512,100,1000,0,40.7175,29.113,34348.9,29113,29530.3,32565,272583,522.095,3.57519,15.6977,0.799357
iends_with,boost_cstr,1024,100,1000,0,39.9602,58.222,17175.6,58222,58925.3,64236,678309,823.595,3.90497,19.9959,0.853939
iends_with,boost_stdstr,0,100,1000,0,4.45,0.089,1.1236e+07,89,91.58,118,24.7309,4.97302,3.86871,14.1242,0.5188
iends_with,boost_stdstr,10,100,1000,0,20.1563,0.645,1.55039e+06,645,661.23,830,1597.03,39.9628,2.67163,6.07888,0.406127
iends_with,boost_stdstr,20,100,1000,0,26.6889,1.201,832639,1201,1224.5,1524,2552.74,50.5246,3.22931,12.6071,0.46512
iends_with,boost_stdstr,30,100,1000,0,30.8421,1.758,568828,1758,1791.71,2152,5349.95,73.1433,3.04191,10.4714,0.460876
iends_with,boost_stdstr,40,100,1000,0,33.0571,2.314,432152,2314,2363.97,2852,11128.8,105.493,3.03451,9.73511,0.47368
iends_with,boost_stdstr,50,100,1000,0,34.5783,2.87,348432,2870,2921.69,3395,8906.28,94.3731,2.78769,9.15456,0.54772
iends_with,boost_stdstr,60,100,1000,0,35.6979,3.427,291800,3427,3541.65,4729,66186.6,257.268,3.19853,9.75623,0.445645
iends_with,boost_stdstr,70,100,1000,0,36.5413,3.983,251067,3983,4051.31,4597,12376,111.248,2.43158,6.59909,0.614036
