Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
istarts_with,strnicmp,0,100,1000,0,1,0.021,4.7619e+07,21,23.42,50,22.4077,4.73367,3.90774,16.4647,0.511231
istarts_with,strnicmp,10,100,1000,0,1,0.032,3.125e+07,32,34.17,48,4.06172,2.01537,4.5805,25.8818,1.07673
istarts_with,strnicmp,20,100,1000,0,1,0.044,2.27273e+07,44,46.33,51,1.96071,1.40025,1.19523,1.00839,1.66399
istarts_with,strnicmp,30,100,1000,0,1,0.057,1.75439e+07,57,61.3,104,36.8384,6.06946,4.34696,24.7911,0.708465
istarts_with,strnicmp,40,100,1000,0,1,0.07,1.42857e+07,70,75.13,107,34.5385,5.87695,2.9642,10.8812,0.872902
istarts_with,strnicmp,50,100,1000,0,1,0.083,1.20482e+07,83,94.49,139,147.687,12.1526,1.43185,1.46189,0.945473
istarts_with,strnicmp,60,100,1000,0,1,0.096,1.04167e+07,96,103.01,157,65.8888,8.11719,4.04517,20.9524,0.863599
istarts_with,strnicmp,70,100,1000,0,1,0.109,9.17431e+06,109,114.98,128,14.6663,3.82966,0.783193,0.903408,1.5615
istarts_with,strnicmp,80,100,1000,0,1,0.122,8.19672e+06,122,146.28,192,310.224,17.6132,0.152708,-1.33061,1.37851
istarts_with,strnicmp,90,100,1000,0,1,0.135,7.40741e+06,135,149.66,215,275.56,16.6,1.99777,3.41492,0.883133
istarts_with,strnicmp,100,100,1000,0,1,0.148,6.75676e+06,148,157.82,206,74.7754,8.64727,3.39545,15.2151,1.13562
istarts_with,strnicmp,512,100,1000,0,1,0.717,1.3947e+06,717,751.63,879,902.235,30.0372,2.23787,6.06178,1.1529
istarts_with,strnicmp,1024,100,1000,0,1,1.441,693963,1441,1531.5,1847,4264.43,65.3026,1.85874,4.79757,1.38586
istarts_with,strnicmp_cstr,0,100,1000,0,0.952381,0.02,5e+07,20,21.05,22,0.229798,0.479372,0.145147,1.31699,2.19036
istarts_with,strnicmp_cstr,10,100,1000,0,1.3125,0.042,2.38095e+07,42,43.57,47,1.76273,1.32768,0.642292,-0.718974,1.18252
istarts_with,strnicmp_cstr,20,100,1000,0,1.43182,0.063,1.5873e+07,63,72.06,123,150.744,12.2778,2.75297,7.58537,0.737919
istarts_with,strnicmp_cstr,30,100,1000,0,1.47368,0.084,1.19048e+07,84,89.5,143,56.798,7.53644,4.90466,28.2056,0.729787
istarts_with,strnicmp_cstr,40,100,1000,0,1.5,0.105,9.52381e+06,105,112.97,122,17.7668,4.21506,0.322812,-0.722927,1.89084
istarts_with,strnicmp_cstr,50,100,1000,0,1.57831,0.131,7.63359e+06,131,159.04,213,84.8065,9.20904,3.58227,18.7423,3.04483
istarts_with,strnicmp_cstr,60,100,1000,0,1.58333,0.152,6.57895e+06,152,183.2,222,87.3737,9.34739,1.87319,6.50457,3.33783
istarts_with,strnicmp_cstr,70,100,1000,0,1.79817,0.196,5.10204e+06,196,211.94,311,421.734,20.5362,2.28091,5.46545,0.776192
istarts_with,strnicmp_cstr,80,100,1000,0,1.77869,0.217,4.60829e+06,217,256.05,343,970.028,31.1453,0.649929,-0.333568,1.2538
istarts_with,strnicmp_cstr,90,100,1000,0,1.77037,0.239,4.1841e+06,239,269.89,341,701.675,26.4891,0.684807,-0.616843,1.16614
istarts_with,strnicmp_cstr,100,100,1000,0,1.77703,0.263,3.80228e+06,263,288.86,355,516.586,22.7285,0.752267,-0.542124,1.13778
istarts_with,strnicmp_cstr,512,100,1000,0,1.58856,1.139,877963,1139,1198.07,1465,2821.2,53.1149,2.71144,8.05781,1.11212
istarts_with,strnicmp_cstr,1024,100,1000,0,1.58154,2.279,438789,2279,2377.05,2819,7707.83,87.7942,2.33675,6.87336,1.11682
istarts_with,strnicmp_stdstr,0,100,1000,0,0.952381,0.02,5e+07,20,21.2,22,0.383838,0.619547,-0.153683,-0.534626,1.9369
istarts_with,strnicmp_stdstr,10,100,1000,0,1.03125,0.033,3.0303e+07,33,34.48,39,0.979394,0.989643,1.31258,3.42514,1.49549
istarts_with,strnicmp_stdstr,20,100,1000,0,1.02273,0.045,2.22222e+07,45,48.1,75,20.0505,4.47778,3.17333,13.3797,0.692307
istarts_with,strnicmp_stdstr,30,100,1000,0,1,0.057,1.75439e+07,57,60.71,67,6.22818,2.49563,0.662199,-0.594514,1.4866
istarts_with,strnicmp_stdstr,40,100,1000,0,1.01429,0.071,1.40845e+07,71,75.43,96,14.8536,3.85404,3.00977,12.6649,1.14944
istarts_with,strnicmp_stdstr,50,100,1000,0,1.01205,0.084,1.19048e+07,84,88.46,114,16.4327,4.05373,2.56476,13.765,1.10022
istarts_with,strnicmp_stdstr,60,100,1000,0,1,0.096,1.04167e+07,96,104.06,189,114.542,10.7024,5.66255,39.4015,0.753101
istarts_with,strnicmp_stdstr,70,100,1000,0,1,0.109,9.17431e+06,109,117.82,160,79.341,8.90736,2.88087,9.03662,0.990193
istarts_with,strnicmp_stdstr,80,100,1000,0,1.0082,0.123,8.13008e+06,123,132.29,181,67.1777,8.1962,3.5227,16.3709,1.13345
istarts_with,strnicmp_stdstr,90,100,1000,0,1,0.135,7.40741e+06,135,144.05,202,61.2803,7.82817,4.90467,31.4359,1.15608
istarts_with,strnicmp_stdstr,100,100,1000,0,1,0.148,6.75676e+06,148,158.07,203,58.0658,7.62009,3.0279,13.9765,1.32151
istarts_with,strnicmp_stdstr,512,100,1000,0,0.988842,0.709,1.41044e+06,709,773.45,964,3439.64,58.6485,1.56914,1.49625,1.09892
istarts_with,strnicmp_stdstr,1024,100,1000,0,1.02082,1.471,679810,1471,1704.58,1994,14458.9,120.245,0.209894,-0.849815,1.94253
istarts_with,boost_cstr,0,100,1000,0,3.38095,0.071,1.40845e+07,71,88.06,150,210.926,14.5233,1.28671,2.30932,1.17467
istarts_with,boost_cstr,10,100,1000,0,19.8125,0.634,1.57729e+06,634,717.57,858,3949.56,62.8455,0.195383,-1.07101,1.32977
istarts_with,boost_cstr,20,100,1000,0,27.25,1.199,834028,1199,1319.05,1568,8055.6,89.753,0.921448,0.727127,1.33756
istarts_with,boost_cstr,30,100,1000,0,30.8772,1.76,568182,1760,1781.32,1945,1677.69,40.9597,2.28348,3.95519,0.520512
istarts_with,boost_cstr,40,100,1000,0,33.2143,2.325,430108,2325,2450.34,2959,19170.8,138.458,1.17485,1.30241,0.905253
istarts_with,boost_cstr,50,100,1000,0,35,2.905,344234,2905,2966.97,3409,10257.4,101.279,2.20454,4.87409,0.611876
istarts_with,boost_cstr,60,100,1000,0,36.1458,3.47,288184,3470,3773,4401,62319.4,249.639,0.668102,-0.30182,1.21375
istarts_with,boost_cstr,70,100,1000,0,37.0183,4.035,247831,4035,4231.33,4886,63452.3,251.897,1.39628,0.617133,0.779405
istarts_with,boost_cstr,80,100,1000,0,37.7049,4.6,217391,4600,4760.61,5562,44807.6,211.678,2.03994,3.95048,0.758746
istarts_with,boost_cstr,90,100,1000,0,38.2667,5.166,193573,5166,5366.86,5838,27681.5,166.378,0.81187,-0.338027,1.20725
istarts_with,boost_cstr,100,100,1000,0,38.7027,5.728,174581,5728,5863.87,7286,54709.1,233.9,3.65636,16.3075,0.58089
istarts_with,boost_cstr,512,100,1000,0,40.6137,29.12,34340.7,29120,29524.1,30883,134600,366.879,1.55057,2.028,1.1014
istarts_with,boost_cstr,1024,100,1000,0,40.4282,58.257,17165.3,58257,59027.6,64007,763525,873.799,3.26756,14.0763,0.881896
istarts_with,boost_stdstr,0,100,1000,0,3.33333,0.07,1.42857e+07,70,71.64,75,0.616566,0.785217,1.60599,4.16994,2.08859
istarts_with,boost_stdstr,10,100,1000,0,19.5938,0.627,1.5949e+06,627,645.19,797,1614.66,40.1828,2.39509,4.39756,0.452681
istarts_with,boost_stdstr,20,100,1000,0,26.8864,1.183,845309,1183,1210.58,1499,3035.7,55.0972,3.12278,10.8779,0.50057
istarts_with,boost_stdstr,30,100,1000,0,30.5263,1.74,574713,1740,1782.08,2152,6816.05,82.5594,2.5253,6.37471,0.509694
istarts_with,boost_stdstr,40,100,1000,0,32.8143,2.297,435350,2297,2356.53,2961,14255.7,119.397,2.93525,9.47476,0.498587
istarts_with,boost_stdstr,50,100,1000,0,34.3735,2.853,350508,2853,2907.42,3465,12575,112.138,3.14966,10.6543,0.485294
istarts_with,boost_stdstr,60,100,1000,0,35.5625,3.414,292912,3414,3480.01,3938,10714.2,103.509,2.11914,4.65379,0.63772
istarts_with,boost_stdstr,70,100,1000,0,36.3945,3.967,252080,3967,4037.5,4629,12515.4,111.872,2.81594,10.1727,0.630182
istarts_with,boost_stdstr,80,100,1000,0,37.082,4.524,221043,4524,4605.51,5704,23447.8,153.127,4.35131,25.6389,0.532304
istarts_with,boost_stdstr,90,100,1000,0,37.637,5.081,196812,5081,5157.29,5702,11438.9,106.953,2.36844,7.4168,0.713306
istarts_with,boost_stdstr,100,100,1000,0,38.0878,5.637,177399,5637,5739.26,6409,26263.2,162.059,2.70992,7.70641,0.631003
istarts_with,boost_stdstr,512,100,1000,0,40.046,28.713,34827.4,28713,29072.8,30363,126057,355.045,1.73224,2.28714,1.01331
istarts_with,boost_stdstr,1024,100,1000,0,39.8751,57.46,17403.4,57460,58315.2,69214,2.33657e+06,1528.59,4.89472,27.7507,0.559445
