Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
starts_with,strncmp,0,100,1000,0,1,0.019,5.26316e+07,19,19.96,33,2.30141,1.51704,6.45328,52.8588,0.632811
starts_with,strncmp,10,100,1000,0,1,0.022,4.54545e+07,22,25.17,49,16.991,4.12202,3.36119,13.2487,0.769041
starts_with,strncmp,20,100,1000,0,1,0.021,4.7619e+07,21,27.85,40,12.7955,3.57707,1.18117,1.59969,1.91497
starts_with,strncmp,30,100,1000,0,1,0.026,3.84615e+07,26,30.52,44,12.1915,3.49164,1.90384,3.67675,1.29452
starts_with,strncmp,40,100,1000,0,1,0.024,4.16667e+07,24,25.72,42,7.84,2.8,3.65813,15.1689,0.614286
starts_with,strncmp,50,100,1000,0,1,0.027,3.7037e+07,27,30.17,62,21.9607,4.68623,4.14131,21.642,0.676451
starts_with,strncmp,60,100,1000,0,1,0.029,3.44828e+07,29,32.86,57,13.1721,3.62934,4.12691,21.047,1.06355
starts_with,strncmp,70,100,1000,0,1,0.029,3.44828e+07,29,30.69,34,1.38778,1.17804,1.58813,1.57718,1.43459
starts_with,strncmp,80,100,1000,0,1,0.031,3.22581e+07,31,31.61,35,0.543333,0.737111,1.66959,4.47742,0.827555
starts_with,strncmp,90,100,1000,0,1,0.034,2.94118e+07,34,36.58,67,26.6097,5.15846,4.25443,19.834,0.500149
starts_with,strncmp,100,100,1000,0,1,0.037,2.7027e+07,37,38.03,39,0.433434,0.658357,-0.0307594,-0.671607,1.5645
starts_with,strncmp,512,100,1000,0,1,0.104,9.61538e+06,104,106.15,141,23.3207,4.82915,6.71982,43.9809,0.445213
starts_with,strncmp,1024,100,1000,0,1,0.176,5.68182e+06,176,183.65,248,186.27,13.6481,3.15165,8.76966,0.560518
starts_with,strnicmp_cstr,0,100,1000,0,1,0.019,5.26316e+07,19,21.66,54,21.4994,4.63674,4.52026,24.3645,0.573678
starts_with,strnicmp_cstr,10,100,1000,0,1.40909,0.031,3.22581e+07,31,32.9,45,9.32323,3.0534,2.89606,8.10245,0.622258
starts_with,strnicmp_cstr,20,100,1000,0,1.90476,0.04,2.5e+07,40,40.92,55,2.37737,1.54187,7.72839,68.0613,0.596677
starts_with,strnicmp_cstr,30,100,1000,0,1.84615,0.048,2.08333e+07,48,57.16,117,83.7923,9.15381,3.1087,16.8386,1.00068
starts_with,strnicmp_cstr,40,100,1000,0,2.41667,0.058,1.72414e+07,58,59.23,79,6.94657,2.63563,5.56776,34.6755,0.466681
starts_with,strnicmp_cstr,50,100,1000,0,2.59259,0.07,1.42857e+07,70,84.01,137,135.323,11.6328,0.677147,2.39366,1.20435
starts_with,strnicmp_cstr,60,100,1000,0,2.72414,0.079,1.26582e+07,79,95.87,113,69.9122,8.36135,-0.567396,-1.09783,2.01762
starts_with,strnicmp_cstr,70,100,1000,0,3.72414,0.108,9.25926e+06,108,112.01,171,64.2726,8.01702,5.09294,30.4928,0.500186
starts_with,strnicmp_cstr,80,100,1000,0,3.77419,0.117,8.54701e+06,117,119.78,154,30.9814,5.5661,4.62116,22.0692,0.499452
starts_with,strnicmp_cstr,90,100,1000,0,3.79412,0.129,7.75194e+06,129,132.69,177,42.6403,6.52995,4.70786,24.1739,0.565088
starts_with,strnicmp_cstr,100,100,1000,0,3.67568,0.136,7.35294e+06,136,141.15,176,28.9773,5.38305,4.77544,25.0705,0.956706
starts_with,strnicmp_cstr,512,100,1000,0,5.03846,0.524,1.9084e+06,524,533.84,617,354.176,18.8196,3.24767,9.48181,0.52286
starts_with,strnicmp_cstr,1024,100,1000,0,5.58523,0.983,1.01729e+06,983,1013.75,1239,3063.24,55.3465,2.16373,3.9865,0.55559
starts_with,strnicmp_stdstr,0,100,1000,0,0.947368,0.018,5.55556e+07,18,19.01,20,0.21202,0.460457,0.0384962,1.76022,2.19348
starts_with,strnicmp_stdstr,10,100,1000,0,1,0.022,4.54545e+07,22,22.91,24,0.385758,0.621094,0.0586509,-0.419518,1.46516
starts_with,strnicmp_stdstr,20,100,1000,0,1,0.021,4.7619e+07,21,22.16,23,0.236768,0.486588,0.382361,0.559482,2.38395
starts_with,strnicmp_stdstr,30,100,1000,0,0.884615,0.023,4.34783e+07,23,23.97,26,0.554646,0.744746,0.195252,-0.756075,1.30246
starts_with,strnicmp_stdstr,40,100,1000,0,1,0.024,4.16667e+07,24,26,55,13.4343,3.66529,5.99208,40.8895,0.54566
starts_with,strnicmp_stdstr,50,100,1000,0,1.03704,0.028,3.57143e+07,28,28.88,31,0.308687,0.555596,1.0166,4.87895,1.58388
starts_with,strnicmp_stdstr,60,100,1000,0,1,0.029,3.44828e+07,29,31.26,33,1.52768,1.23599,-0.0522854,-1.38104,1.82849
