Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wends_with,strncmp,0,100,1000,0,1,0.019,5.26316e+07,19,23.36,46,32.3539,5.68805,2.22312,4.37165,0.766519
wends_with,strncmp,10,100,1000,0,1,0.026,3.84615e+07,26,31.5,54,31.404,5.60393,2.12272,4.30202,0.981454
wends_with,strncmp,20,100,1000,0,1,0.035,2.85714e+07,35,39.15,65,20.4116,4.51792,2.85269,10.3741,0.918564
wends_with,strncmp,30,100,1000,0,1,0.038,2.63158e+07,38,43.02,55,17.6562,4.20192,2.12961,3.39187,1.19469
wends_with,strncmp,40,100,1000,0,1,0.044,2.27273e+07,44,53.29,74,67.1777,8.1962,1.32565,0.744253,1.13345
wends_with,strncmp,50,100,1000,0,1,0.058,1.72414e+07,58,64.16,100,75.4489,8.68613,1.98788,3.84973,0.709176
wends_with,strncmp,60,100,1000,0,1,0.063,1.5873e+07,63,72.35,133,162.614,12.752,1.90255,4.39431,0.733218
wends_with,strncmp,70,100,1000,0,1,0.068,1.47059e+07,68,77.36,123,126.819,11.2614,1.6282,2.29813,0.83116
wends_with,strncmp,80,100,1000,0,1,0.073,1.36986e+07,73,77.02,120,48.7269,6.98046,3.41005,14.5522,0.575893
wends_with,strncmp,90,100,1000,0,1,0.078,1.28205e+07,78,89.85,132,137.543,11.7279,1.20622,1.21235,1.01041
wends_with,strncmp,100,100,1000,0,1,0.083,1.20482e+07,83,87.45,128,81.6641,9.03682,2.75708,7.6302,0.49243
wends_with,strncmp,512,100,1000,0,1,0.282,3.5461e+06,282,317.37,391,1035.21,32.1746,0.445268,-1.09064,1.09931
wends_with,strncmp,1024,100,1000,0,1,0.531,1.88324e+06,531,610.97,734,2439.06,49.3868,0.160989,-0.703224,1.61926
wends_with,strnicmp_cstr,0,100,1000,0,1.05263,0.02,5e+07,20,23.89,38,16.2807,4.03494,2.07036,3.18595,0.96408
