Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wescape_xml,single_pass,0,30,33554432,0,1,0.0266359,3.75434e+07,893751,902355,922410,5.20315e+07,7213.29,1.13203,0.784291,1.19283
wescape_xml,single_pass,10,30,100,0,1,1.64,609756,164,301.5,420,3526.95,59.3881,-0.151271,-0.185386,2.31528
wescape_xml,single_pass,20,30,100,0,1,3.41,293255,341,556.7,774,13510.6,116.235,-0.0767636,-0.818615,1.85572
wescape_xml,single_pass,30,30,100,0,1,6.43,155521,643,982.233,1353,27298.7,165.223,0.347045,-0.230929,2.05318
wescape_xml,single_pass,40,30,100,0,1,9.34,107066,934,1394.1,1883,52675,229.51,-0.079816,-0.49663,2.0047
wescape_xml,single_pass,50,30,100,0,1,13.47,74239,1347,1958.07,2606,110341,332.176,0.133896,-0.570681,1.83959
wescape_xml,single_pass,60,30,100,0,1,17.8,56179.8,1780,2359.43,2864,90285.2,300.475,-0.161717,-0.984669,1.92839
wescape_xml,single_pass,70,30,100,0,1,21.1,47393.4,2110,2826.03,3698,180634,425.011,0.199478,-0.487496,1.68474
wescape_xml,single_pass,80,30,100,0,1,26.8,37313.4,2680,3533.87,4263,168705,410.737,-0.142153,-0.840042,2.07886
wescape_xml,single_pass,90,30,100,0,1,31.38,31867.4,3138,4071,5411,315443,561.643,0.347937,-0.2061,1.6612
wescape_xml,single_pass,100,30,100,0,1,39.95,25031.3,3995,4957.97,5957,321758,567.237,-0.0934621,-0.992769,1.69764
wescape_xml,single_pass,512,30,100,0,1,755.64,1323.38,75564,88025.9,98878,3.1451e+07,5608.12,0.0651801,-0.205413,2.22212
wescape_xml,single_pass,1024,30,100,0,1,3298.61,303.158,329861,373941,414823,6.28172e+08,25063.4,-0.115841,-1.0979,1.75876
wescape_xml,multi_pass,0,30,134217728,0,0.387032,0.0103089,9.70032e+07,1383642,1.39409e+06,1415906,5.13841e+07,7168.27,1.1795,1.81941,1.4573
wescape_xml,multi_pass,10,30,100,0,6.12195,10.04,99601.6,1004,1019.2,1068,256.924,16.0289,1.39708,1.4577,0.94829
wescape_xml,multi_pass,20,30,100,0,6.17302,21.05,47505.9,2105,2152.2,2243,1555.68,39.4421,1.07619,0.070779,1.19669
wescape_xml,multi_pass,30,30,100,0,5.15863,33.17,30147.7,3317,3402.17,4029,16429,128.176,4.09939,17.4928,0.664452
wescape_xml,multi_pass,40,30,100,0,4.9636,46.36,21570.3,4636,4706.6,4803,1470.8,38.351,0.301578,0.0780201,1.84089
wescape_xml,multi_pass,50,30,100,0,4.52487,60.95,16406.9,6095,6293.7,7524,133887,365.906,2.70805,6.17132,0.543036
wescape_xml,multi_pass,60,30,100,0,4.36124,77.63,12881.6,7763,7825.33,7892,943.54,30.7171,0.233684,-0.537354,2.02927
wescape_xml,multi_pass,70,30,100,0,4.55829,96.18,10397.2,9618,9780.2,10094,17691.2,133.008,0.553913,-0.644548,1.21947
wescape_xml,multi_pass,80,30,100,0,4.33993,116.31,8597.71,11631,11879.7,12291,36719.8,191.624,0.753454,-0.70456,1.29768
wescape_xml,multi_pass,90,30,100,0,4.40057,138.09,7241.65,13809,14153.4,14699,61383.5,247.757,0.52807,-0.710397,1.39021
wescape_xml,multi_pass,100,30,100,0,4.07635,162.85,6140.62,16285,16689.3,17752,127224,356.685,1.54534,2.47232,1.13359
wescape_xml,multi_pass,512,30,100,0,3.55853,2688.97,371.89,268897,272868,281106,1.09056e+07,3302.37,0.958104,0.187284,1.20233
wescape_xml,multi_pass,1024,30,100,0,3.2665,10774.9,92.8081,1077492,1.11266e+06,1189743,1.31069e+09,36203.4,1.2147,-0.256453,0.971271
wescape_xml,boost_multi_pass,0,30,33554432,0,1.41089,0.0375802,2.66098e+07,1260981,1.35235e+06,1555627,3.81947e+09,61801.8,1.35418,2.28884,1.47845
wescape_xml,boost_multi_pass,10,30,100,0,12.7805,20.96,47709.9,2096,2138,2242,1629.66,40.369,1.2528,0.713625,1.0404
wescape_xml,boost_multi_pass,20,30,100,0,12.0616,41.13,24313.2,4113,4200.57,4401,4711.84,68.6428,1.24386,1.18169,1.27569
wescape_xml,boost_multi_pass,30,30,100,0,9.61586,61.83,16173.4,6183,6291.03,6458,4723.41,68.7271,0.585154,0.0426534,1.57192
