Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wfmtlib,default_buffer,0,100,1000,0,1,1,1e+06,1000,1149.19,1364,15967,126.361,0.296456,-1.47798,1.18067
wfmtlib,default_buffer,10,100,1000,0,1,1,1e+06,1000,1072.12,1384,8574.21,92.597,1.56659,1.67206,0.778859
wfmtlib,default_buffer,20,100,1000,0,1,0.997,1.00301e+06,997,1072.96,1358,8098.79,89.9933,1.20461,0.374746,0.844063
wfmtlib,default_buffer,30,100,1000,0,1,1.004,996016,1004,1075.61,1316,7190.34,84.7959,1.13566,0.122355,0.844499
wfmtlib,default_buffer,40,100,1000,0,1,1.001,999001,1001,1083.67,1344,7943.03,89.1237,1.11538,0.307495,0.927587
wfmtlib,default_buffer,50,100,1000,0,1,1.001,999001,1001,1073.22,1307,7062.84,84.0407,1.27174,0.418214,0.859345
wfmtlib,default_buffer,60,100,1000,0,1,1,1e+06,1000,1103.45,1357,14057.3,118.564,0.945561,-0.656179,0.872528
wfmtlib,default_buffer,70,100,1000,0,1,1,1e+06,1000,1089.41,1351,11158.9,105.636,1.28601,0.231518,0.8464
wfmtlib,default_buffer,80,100,1000,0,1,0.996,1.00402e+06,996,1066.12,1324,6437.68,80.2352,1.35055,0.775662,0.873931
wfmtlib,default_buffer,90,100,1000,0,1,1.001,999001,1001,1082.79,1354,8327.93,91.2575,1.06021,-0.0849979,0.896255
wfmtlib,default_buffer,100,100,1000,0,1,1.002,998004,1002,1068.89,1325,6438.64,80.2412,1.14297,0.134541,0.833612
wfmtlib,default_buffer,512,100,1000,0,1,1.001,999001,1001,1063.51,1287,5534.31,74.393,1.36573,0.829389,0.840268
wfmtlib,default_buffer,1024,100,1000,0,1,0.999,1.001e+06,999,1080.14,1331,7264.36,85.2312,1.11503,0.300455,0.951998
wfmtlib,string_buf32,0,100,1000,0,0.532,0.532,1.8797e+06,532,585.03,714,2855.89,53.4405,0.756805,-0.542973,0.992318
wfmtlib,string_buf32,10,100,1000,0,0.532,0.532,1.8797e+06,532,585.03,730,3013.06,54.8913,0.9326,-0.186441,0.96609
wfmtlib,string_buf32,20,100,1000,0,0.533601,0.532,1.8797e+06,532,594.82,735,2543.75,50.4356,0.552454,-0.35745,1.24555
wfmtlib,string_buf32,30,100,1000,0,0.52988,0.532,1.8797e+06,532,585.73,744,3031.92,55.0628,0.984156,0.223296,0.975794
wfmtlib,string_buf32,40,100,1000,0,0.531469,0.532,1.8797e+06,532,593.57,734,3824.85,61.8454,0.69613,-0.747468,0.995547
wfmtlib,string_buf32,50,100,1000,0,0.53047,0.531,1.88324e+06,531,591.85,713,2984.19,54.6277,0.370844,-1.14141,1.1139
wfmtlib,string_buf32,60,100,1000,0,0.532,0.532,1.8797e+06,532,584.03,729,2596.21,50.953,0.762071,-0.306898,1.02114
wfmtlib,string_buf32,70,100,1000,0,0.532,0.532,1.8797e+06,532,584.72,703,2443.23,49.4291,0.50702,-0.899703,1.06658
wfmtlib,string_buf32,80,100,1000,0,0.533133,0.531,1.88324e+06,531,583.18,724,2924.96,54.0829,0.771827,-0.533659,0.964816
wfmtlib,string_buf32,90,100,1000,0,0.531469,0.532,1.8797e+06,532,603.27,727,4278.38,65.4093,0.282472,-1.36679,1.0896
wfmtlib,string_buf32,100,100,1000,0,0.530938,0.532,1.8797e+06,532,594.73,739,4173.88,64.6055,0.422943,-1.33395,0.970969
wfmtlib,string_buf32,512,100,1000,0,0.531469,0.532,1.8797e+06,532,594.53,737,4410.64,66.4126,0.619196,-1.10033,0.941538
wfmtlib,string_buf32,1024,100,1000,0,0.531532,0.531,1.88324e+06,531,588.9,780,3584.94,59.8744,0.815186,-0.278191,0.967025
wfmtlib,string_buf256,0,100,1000,0,0.613,0.613,1.63132e+06,613,675.13,807,2742.22,52.3662,0.734835,-0.607327,1.18645
wfmtlib,string_buf256,10,100,1000,0,0.621,0.621,1.61031e+06,621,684.01,852,3160.33,56.2168,0.953016,0.111882,1.12084
wfmtlib,string_buf256,20,100,1000,0,0.613842,0.612,1.63399e+06,612,692.81,861,4578.76,67.6665,0.590231,-0.731845,1.19424
wfmtlib,string_buf256,30,100,1000,0,0.608566,0.611,1.63666e+06,611,699.3,848,4250.74,65.1977,0.45351,-1.00366,1.35434
wfmtlib,string_buf256,40,100,1000,0,0.612388,0.613,1.63132e+06,613,682.31,839,3207.06,56.631,0.71403,-0.475325,1.22389
wfmtlib,string_buf256,50,100,1000,0,0.612388,0.613,1.63132e+06,613,693.9,829,4447.93,66.6928,0.470821,-1.20765,1.21302
wfmtlib,string_buf256,60,100,1000,0,0.612,0.612,1.63399e+06,612,681.02,848,3890.06,62.3703,0.863116,-0.491636,1.10662
