Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wiends_with,strnicmp,0,100,1000,0,1,0.019,5.26316e+07,19,21.86,48,20.1014,4.48346,3.61588,14.4345,0.6379
wiends_with,strnicmp,10,100,1000,0,1,0.033,3.0303e+07,33,33.61,35,0.361515,0.601261,0.411288,-0.6765,1.01453
wiends_with,strnicmp,20,100,1000,0,1,0.046,2.17391e+07,46,47.69,50,1.12515,1.06073,0.0814187,-0.616663,1.59324
wiends_with,strnicmp,30,100,1000,0,1,0.059,1.69492e+07,59,64.1,109,43.9899,6.63249,5.0827,28.6374,0.768942
wiends_with,strnicmp,40,100,1000,0,1,0.072,1.38889e+07,72,76.48,95,6.89859,2.62652,3.3995,22.9996,1.70568
wiends_with,strnicmp,50,100,1000,0,1,0.086,1.16279e+07,86,92.91,159,67.5171,8.21688,6.20317,43.7089,0.840952
wiends_with,strnicmp,60,100,1000,0,1,0.098,1.02041e+07,98,107.2,133,30.7071,5.5414,3.00877,10.2877,1.66023
wiends_with,strnicmp,70,100,1000,0,1,0.113,8.84956e+06,113,120.66,134,9.03475,3.00579,1.15523,4.50266,2.54842
wiends_with,strnicmp,80,100,1000,0,1,0.124,8.06452e+06,124,135.9,188,78.4343,8.85632,4.2672,21.3383,1.34367
wiends_with,strnicmp,90,100,1000,0,1,0.139,7.19424e+06,139,155.8,208,197.616,14.0576,1.88143,3.17279,1.19508
wiends_with,strnicmp,100,100,1000,0,1,0.156,6.41026e+06,156,172.38,245,277.268,16.6514,1.93868,3.57927,0.983703
wiends_with,strnicmp,512,100,1000,0,1,0.759,1.31752e+06,759,814.49,971,1629.44,40.3664,1.34737,2.00224,1.37466
wiends_with,strnicmp,1024,100,1000,0,1,1.583,631712,1583,1669.94,1967,5176.16,71.9455,1.52146,3.06644,1.20841
wiends_with,strnicmp_cstr,0,100,1000,0,1.05263,0.02,5e+07,20,21.13,39,4.49808,2.12087,6.30313,48.8897,0.532801
wiends_with,strnicmp_cstr,10,100,1000,0,1.24242,0.041,2.43902e+07,41,43.49,47,2.01,1.41774,0.351688,-0.0576589,1.75631
wiends_with,strnicmp_cstr,20,100,1000,0,1.32609,0.061,1.63934e+07,61,67.52,74,7.80768,2.79422,-0.00180475,-0.022982,2.33339
wiends_with,strnicmp_cstr,30,100,1000,0,1.40678,0.083,1.20482e+07,83,90.61,140,50.6847,7.11932,4.70912,26.1197,1.06892
wiends_with,strnicmp_cstr,40,100,1000,0,1.45833,0.105,9.52381e+06,105,122.31,164,45.0847,6.71452,2.89742,16.1281,2.578
wiends_with,strnicmp_cstr,50,100,1000,0,1.45349,0.125,8e+06,125,168.34,210,396.348,19.9085,0.741066,-0.405521,2.17696
wiends_with,strnicmp_cstr,60,100,1000,0,1.59184,0.156,6.41026e+06,156,188.78,248,289.002,17,1.6231,2.10375,1.92823
wiends_with,strnicmp_cstr,70,100,1000,0,1.70796,0.193,5.18135e+06,193,209.65,270,189.765,13.7755,2.29285,5.01967,1.20867
wiends_with,strnicmp_cstr,80,100,1000,0,1.77419,0.22,4.54545e+06,220,230.93,283,128.49,11.3353,3.03215,9.55467,0.964241
wiends_with,strnicmp_cstr,90,100,1000,0,1.69784,0.236,4.23729e+06,236,260.24,333,487.376,22.0766,1.98801,2.78575,1.098
wiends_with,strnicmp_cstr,100,100,1000,0,1.67949,0.262,3.81679e+06,262,276.08,373,264.297,16.2572,4.28847,19.1406,0.866078
wiends_with,strnicmp_cstr,512,100,1000,0,1.55204,1.178,848896,1178,1247.12,1546,2434.09,49.3365,2.85669,12.7076,1.40099
wiends_with,strnicmp_cstr,1024,100,1000,0,1.51105,2.392,418060,2392,2542.17,3194,19551.8,139.828,2.62594,7.37667,1.07397
wiends_with,strnicmp_stdstr,0,100,1000,0,1,0.019,5.26316e+07,19,19.56,21,0.370101,0.608359,0.580886,-0.589157,0.920509
