Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wistarts_with,strnicmp,0,100,1000,0,1,0.019,5.26316e+07,19,20.08,33,3.46828,1.86233,6.02212,37.7992,0.579918
wistarts_with,strnicmp,10,100,1000,0,1,0.032,3.125e+07,32,34.37,50,12.1951,3.49214,3.13228,9.43337,0.678667
wistarts_with,strnicmp,20,100,1000,0,1,0.045,2.22222e+07,45,52.58,83,60.8319,7.79948,1.86563,3.94089,0.971859
wistarts_with,strnicmp,30,100,1000,0,1,0.063,1.5873e+07,63,67.07,85,16.4496,4.05581,2.87059,8.52179,1.0035
wistarts_with,strnicmp,40,100,1000,0,1,0.072,1.38889e+07,72,87.74,132,94.1337,9.70225,1.25506,3.55857,1.6223
wistarts_with,strnicmp,50,100,1000,0,1,0.085,1.17647e+07,85,100.4,156,169.939,13.0361,1.15383,1.64103,1.18134
wistarts_with,strnicmp,60,100,1000,0,1,0.1,1e+07,100,105.82,153,28.4319,5.33216,7.11049,59.8734,1.09149
wistarts_with,strnicmp,70,100,1000,0,1,0.114,8.77193e+06,114,121.11,155,45.3514,6.73435,3.1597,10.8806,1.05578
wistarts_with,strnicmp,80,100,1000,0,1,0.127,7.87402e+06,127,134.98,176,47.6966,6.90627,4.35228,21.9704,1.15547
wistarts_with,strnicmp,90,100,1000,0,1,0.139,7.19424e+06,139,154.45,212,220.21,14.8395,1.95624,3.05978,1.04114
wistarts_with,strnicmp,100,100,1000,0,1,0.155,6.45161e+06,155,170.44,235,281.926,16.7906,1.94834,2.88841,0.91956
wistarts_with,strnicmp,512,100,1000,0,1,0.756,1.32275e+06,756,807.57,987,1657.54,40.7129,2.16032,5.81921,1.26667
wistarts_with,strnicmp,1024,100,1000,0,1,1.555,643087,1555,1673.62,2086,6470.36,80.4385,2.17916,6.87215,1.47467
wistarts_with,strnicmp_cstr,0,100,1000,0,1.05263,0.02,5e+07,20,20.16,21,0.135758,0.368453,1.85485,1.44048,0.434248
wistarts_with,strnicmp_cstr,10,100,1000,0,1.28125,0.041,2.43902e+07,41,42.74,46,0.901414,0.949428,0.466948,0.820884,1.83268
wistarts_with,strnicmp_cstr,20,100,1000,0,1.37778,0.062,1.6129e+07,62,69.59,101,29.6787,5.44781,3.60141,16.3167,1.39322
wistarts_with,strnicmp_cstr,30,100,1000,0,1.33333,0.084,1.19048e+07,84,89.29,107,6.30899,2.51177,3.22056,23.0493,2.10608
wistarts_with,strnicmp_cstr,40,100,1000,0,1.47222,0.106,9.43396e+06,106,120.33,156,93.0516,9.64633,1.92823,4.10726,1.48554
