Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wstarts_with,strncmp,0,100,1000,0,1,0.021,4.7619e+07,21,24.71,36,6.4504,2.53976,1.79646,3.55691,1.46077
wstarts_with,strncmp,10,100,1000,0,1,0.024,4.16667e+07,24,27.64,44,15.061,3.88085,2.14068,5.09459,0.937938
wstarts_with,strncmp,20,100,1000,0,1,0.031,3.22581e+07,31,31.76,33,0.446869,0.668482,0.313851,-0.790457,1.1369
wstarts_with,strncmp,30,100,1000,0,1,0.037,2.7027e+07,37,41.95,61,23.7045,4.86873,1.80122,3.60025,1.01669
wstarts_with,strncmp,40,100,1000,0,1,0.052,1.92308e+07,52,55.44,80,34.0065,5.83151,2.70918,6.78412,0.589899
wstarts_with,strncmp,50,100,1000,0,1,0.058,1.72414e+07,58,60.67,95,25.5971,5.05935,4.19414,21.3369,0.527735
wstarts_with,strncmp,60,100,1000,0,1,0.063,1.5873e+07,63,77.62,102,63.2683,7.95414,-0.20871,0.676612,1.83804
wstarts_with,strncmp,70,100,1000,0,1,0.065,1.53846e+07,65,69.97,93,16.7365,4.09102,4.31318,18.3587,1.21486
wstarts_with,strncmp,80,100,1000,0,1,0.073,1.36986e+07,73,75.2,95,13.2323,3.63763,3.61058,13.2809,0.60479
wstarts_with,strncmp,90,100,1000,0,1,0.078,1.28205e+07,78,80.4,115,33.8384,5.81708,4.62206,21.4209,0.412578
wstarts_with,strncmp,100,100,1000,0,1,0.083,1.20482e+07,83,84.46,99,6.04889,2.45945,4.46412,20.0117,0.593629
wstarts_with,strncmp,512,100,1000,0,1,0.282,3.5461e+06,282,289.46,371,346.877,18.6246,3.16093,8.8277,0.400545
wstarts_with,strncmp,1024,100,1000,0,1,0.531,1.88324e+06,531,548.07,707,1448.73,38.0622,2.50308,5.34653,0.448476
wstarts_with,strnicmp_cstr,0,100,1000,0,0.904762,0.019,5.26316e+07,19,20.78,49,16.9006,4.11103,4.98183,27.1342,0.432981
wstarts_with,strnicmp_cstr,10,100,1000,0,1.41667,0.034,2.94118e+07,34,34.69,38,0.640303,0.800189,2.15836,6.91967,0.862296
wstarts_with,strnicmp_cstr,20,100,1000,0,1.58065,0.049,2.04082e+07,49,51.65,55,3.32071,1.82228,0.728897,-1.08087,1.45422
wstarts_with,strnicmp_cstr,30,100,1000,0,1.7027,0.063,1.5873e+07,63,65.73,93,27.3708,5.23171,3.71205,13.946,0.521818
wstarts_with,strnicmp_cstr,40,100,1000,0,1.51923,0.079,1.26582e+07,79,85.08,89,16.1754,4.02186,-0.259104,-1.83636,1.51174
wstarts_with,strnicmp_cstr,50,100,1000,0,1.56897,0.091,1.0989e+07,91,101.15,152,147.422,12.1417,2.15876,3.90393,0.83596
wstarts_with,strnicmp_cstr,60,100,1000,0,1.8254,0.115,8.69565e+06,115,137.94,176,51.0065,7.14188,3.4772,17.3943,3.21204
wstarts_with,strnicmp_cstr,70,100,1000,0,1.87692,0.122,8.19672e+06,122,150.48,200,78.3329,8.85059,0.914073,13.1624,3.21786
wstarts_with,strnicmp_cstr,80,100,1000,0,2.23288,0.163,6.13497e+06,163,166.21,223,70.7332,8.41031,5.45163,29.7411,0.381675
wstarts_with,strnicmp_cstr,90,100,1000,0,2.25641,0.176,5.68182e+06,176,179.74,226,64.0731,8.00457,3.82926,15.1207,0.467233
wstarts_with,strnicmp_cstr,100,100,1000,0,2.28916,0.19,5.26316e+06,190,193.41,269,118.244,10.874,4.90714,25.9984,0.313591
wstarts_with,strnicmp_cstr,512,100,1000,0,2.51064,0.708,1.41243e+06,708,733.02,931,1856.2,43.0837,2.96825,8.59772,0.580731
wstarts_with,strnicmp_cstr,1024,100,1000,0,2.54802,1.353,739098,1353,1471.98,1716,7947.35,89.1479,0.54446,-0.0595856,1.33464
wstarts_with,strnicmp_stdstr,0,100,1000,0,0.904762,0.019,5.26316e+07,19,21.85,44,15.8258,3.97816,3.35729,12.6459,0.716412
wstarts_with,strnicmp_stdstr,10,100,1000,0,1,0.024,4.16667e+07,24,27.85,56,25.6035,5.05999,3.08505,11.1247,0.760871
wstarts_with,strnicmp_stdstr,20,100,1000,0,1.06452,0.033,3.0303e+07,33,39.81,59,32.8827,5.73435,1.89821,3.16486,1.18758
wstarts_with,strnicmp_stdstr,30,100,1000,0,1.02703,0.038,2.63158e+07,38,43.02,77,55.2723,7.43454,2.29647,5.86184,0.675227
wstarts_with,strnicmp_stdstr,40,100,1000,0,1.03846,0.054,1.85185e+07,54,54.53,57,0.312222,0.558768,0.754462,1.55578,0.948514
wstarts_with,strnicmp_stdstr,50,100,1000,0,1.01724,0.059,1.69492e+07,59,59.94,61,0.279192,0.528386,-0.0690368,0.555235,1.779
wstarts_with,strnicmp_stdstr,60,100,1000,0,1.01587,0.064,1.5625e+07,64,68.66,96,49.4186,7.02984,1.98927,3.33509,0.662889
wstarts_with,strnicmp_stdstr,70,100,1000,0,1.07692,0.07,1.42857e+07,70,70.38,71,0.23798,0.487832,0.494451,-1.75552,0.778957
