Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
wkt,to_string,1,30,262144,0,1,0.913757,1.09438e+06,239536,258219,278344,1.024e+08,10119.3,0.162152,-0.84159,1.84628
wkt,to_string,256,30,100,0,1,252.18,3965.42,25218,26006.3,28059,446202,667.983,1.19753,1.21813,1.18012
wkt,to_string,512,30,100,0,1,502.56,1989.81,50256,51986.4,61126,4.45518e+06,2110.73,2.86343,9.8101,0.819795
wkt,to_string,1024,30,100,0,1,1006.76,993.285,100676,102535,105283,1.89174e+06,1375.4,0.55789,-0.68786,1.35148
wkt,stringstream,1,30,262144,0,1.62781,1.48742,672304,389919,437827,516584,2.33306e+09,48301.8,0.504239,-1.5961,0.991841
wkt,stringstream,256,30,100,0,1.20692,304.36,3285.58,30436,31496.2,38013,2.19972e+06,1483.15,3.06945,10.616,0.714809
wkt,stringstream,512,30,100,0,1.21526,610.74,1637.36,61074,62234,67133,1.90328e+06,1379.59,2.34209,5.39038,0.840851
wkt,stringstream,1024,30,100,0,1.21383,1222.04,818.304,122204,124003,127417,1.57394e+06,1254.57,0.593621,0.029816,1.43415
wkt,lexical_cast,1,30,131072,0,1.75146,1.60041,624840,209769,224259,250510,1.09568e+08,10467.5,0.80945,-0.187327,1.38433
wkt,lexical_cast,256,30,100,0,1.40487,354.28,2822.63,35428,36068.4,38314,598288,773.491,1.5031,1.072,0.827892
wkt,lexical_cast,512,30,100,0,1.41191,709.57,1409.3,70957,76491.1,88935,2.45978e+07,4959.62,0.789476,-0.00924734,1.11583
wkt,lexical_cast,1024,30,100,0,1.41396,1423.52,702.484,142352,146231,170231,2.50714e+07,5007.14,3.82443,15.9102,0.77478
wkt,wkt,1,30,131072,0,3.30854,3.0232,330775,396257,409904,441496,1.15849e+08,10763.3,1.24171,1.3244,1.26791
wkt,wkt,256,30,100,0,1.4201,358.12,2792.36,35812,38133.2,43623,3.3054e+06,1818.07,1.51608,1.98216,1.27674
wkt,wkt,512,30,100,0,1.45656,732.01,1366.1,73201,76260.2,82329,4.3174e+06,2077.84,0.801043,0.672467,1.47232
wkt,wkt,1024,30,100,0,1.40704,1416.55,705.94,141655,151332,163515,2.93478e+07,5417.36,0.165146,-0.396677,1.78628
wkt,to_wkt,1,30,131072,0,2.59432,2.37058,421837,310717,334497,347580,1.00336e+08,10016.8,-0.877969,-0.0609966,2.37399
wkt,to_wkt,256,30,100,0,2.39008,602.73,1659.12,60273,70417.6,81977,9.23339e+07,9609.05,0.141161,-1.88633,1.05573
wkt,to_wkt,512,30,100,0,2.45481,1233.69,810.576,123369,150063,164268,1.44131e+08,12005.5,-1.0539,0.152763,2.22347
wkt,to_wkt,1024,30,100,0,2.39837,2414.58,414.151,241458,253364,278077,8.8743e+07,9420.35,0.997675,0.385475,1.26388
wkt,to_wkt_6digits,1,30,131072,0,2.63111,2.4042,415939,315123,340502,366933,1.61476e+08,12707.3,0.085437,0.0531123,1.99722
wkt,to_wkt_6digits,256,30,100,0,2.37045,597.78,1672.86,59778,61896.2,69210,3.48633e+06,1867.17,2.11514,6.05747,1.13442
wkt,to_wkt_6digits,512,30,100,0,2.39474,1203.5,830.91,120350,123454,133561,7.69241e+06,2773.52,1.6328,3.84968,1.11928
wkt,to_wkt_6digits,1024,30,100,0,2.39961,2415.83,413.936,241583,247098,271322,2.9711e+07,5450.78,3.03953,11.151,1.01173
